sample_id,image_id,image_path,axis_code,axis_en,axis_zh,condition,target_anomaly_en,target_anomaly_zh,source_generation_prompt_en,evaluation_prompt_en,evaluation_prompt_zh,permission_gold,hallucination_gold,is_control,include_in_main,final_permission,final_hallucination,gold_source,final_label_available,exclude_reason,adjudicator_rationale
A5_A,A5,image/A5.png,A1,Anatomy / Hands,手部/身体异常,ambiguous,six fingers / extra fingers,六根手指/额外手指,"A surreal portrait of an alien-human performer with six elegant fingers on each hand, theatrical lighting, dreamlike but detailed, hands clearly visible.",An imaginative portrait of a mysterious performer with unusual hands and an artistic studio atmosphere.,具有艺术影棚氛围的神秘表演者想象肖像，人物有奇特的手部。,ambiguous,uncertain,False,True,,,excluded_uncertain,False,missing_adjudicator_final_permission,
A6,A6,image/A6.png,A1,Anatomy / Hands,手部/身体异常,no_issue,none,无,"A realistic studio portrait of a person holding a ceramic cup, natural human anatomy, five fingers on each hand, hands clearly visible.",No-issue control for Anatomy / Hands. The image should not contain the target anomaly.,手部/身体异常的正常控制样本。图像中不应包含目标异常。,no_issue,no,True,True,,,excluded_uncertain,False,missing_adjudicator_final_permission,
A7,A7,image/A7.png,A1,Anatomy / Hands,手部/身体异常,no_issue,none,无,"A realistic studio portrait of a person holding a ceramic cup, natural human anatomy, five fingers on each hand, hands clearly visible.",No-issue control for Anatomy / Hands. The image should not contain the target anomaly.,手部/身体异常的正常控制样本。图像中不应包含目标异常。,no_issue,no,True,True,,,excluded_uncertain,False,missing_adjudicator_final_permission,
A8,A8,image/A8.png,A1,Anatomy / Hands,手部/身体异常,no_issue,none,无,"A realistic studio portrait of a person holding a ceramic cup, natural human anatomy, five fingers on each hand, hands clearly visible.",No-issue control for Anatomy / Hands. The image should not contain the target anomaly.,手部/身体异常的正常控制样本。图像中不应包含目标异常。,no_issue,no,True,True,,,excluded_uncertain,False,missing_adjudicator_final_permission,
B1_V,B1,image/B1.png,A2,Text,乱码文字/不可读文字,violating,illegible or distorted text,乱码文字/不可读文字,"An abstract experimental poster with illegible dreamlike typography, distorted letters used as visual texture, avant-garde design.","A clean professional advertisement poster with large readable text. The text should be clear, correctly formed, and easy to read.",干净专业的广告海报，包含大号可读文字。文字应清晰、正确成形、易于阅读。,prompt_violating,yes,False,True,,,excluded_uncertain,False,missing_adjudicator_final_permission,
B1_P,B1,image/B1.png,A2,Text,乱码文字/不可读文字,permitted,illegible or distorted text,乱码文字/不可读文字,"An abstract experimental poster with illegible dreamlike typography, distorted letters used as visual texture, avant-garde design.",An abstract experimental poster using illegible dreamlike typography. The distorted letter-like marks are intended as visual texture rather than readable text.,抽象实验海报，使用不可读的梦境式字体。扭曲的类字母符号被设计为视觉纹理，而非可读文字。,prompt_required,no,False,True,prompt_required,no,metadata_stable,True,,
B1_A,B1,image/B1.png,A2,Text,乱码文字/不可读文字,ambiguous,illegible or distorted text,乱码文字/不可读文字,"An abstract experimental poster with illegible dreamlike typography, distorted letters used as visual texture, avant-garde design.",A creative poster using expressive typography and distorted letterforms.,使用表现性字体和扭曲字形的创意海报。,ambiguous,uncertain,False,True,,,excluded_uncertain,False,missing_adjudicator_final_permission,
B2_V,B2,image/B2.png,A2,Text,乱码文字/不可读文字,violating,illegible or distorted text,乱码文字/不可读文字,"An abstract experimental poster with illegible dreamlike typography, distorted letters used as visual texture, avant-garde design.","A clean professional advertisement poster with large readable text. The text should be clear, correctly formed, and easy to read.",干净专业的广告海报，包含大号可读文字。文字应清晰、正确成形、易于阅读。,prompt_violating,yes,False,True,,,excluded_uncertain,False,missing_adjudicator_final_permission,
B2_P,B2,image/B2.png,A2,Text,乱码文字/不可读文字,permitted,illegible or distorted text,乱码文字/不可读文字,"An abstract experimental poster with illegible dreamlike typography, distorted letters used as visual texture, avant-garde design.",An abstract experimental poster using illegible dreamlike typography. The distorted letter-like marks are intended as visual texture rather than readable text.,抽象实验海报，使用不可读的梦境式字体。扭曲的类字母符号被设计为视觉纹理，而非可读文字。,prompt_required,no,False,True,prompt_required,no,metadata_stable,True,,
B2_A,B2,image/B2.png,A2,Text,乱码文字/不可读文字,ambiguous,illegible or distorted text,乱码文字/不可读文字,"An abstract experimental poster with illegible dreamlike typography, distorted letters used as visual texture, avant-garde design.",A creative poster using expressive typography and distorted letterforms.,使用表现性字体和扭曲字形的创意海报。,ambiguous,uncertain,False,True,,,excluded_uncertain,False,missing_adjudicator_final_permission,
B3_V,B3,image/B3.png,A2,Text,乱码文字/不可读文字,violating,illegible or distorted text,乱码文字/不可读文字,"An abstract experimental poster with illegible dreamlike typography, distorted letters used as visual texture, avant-garde design.","A clean professional advertisement poster with large readable text. The text should be clear, correctly formed, and easy to read.",干净专业的广告海报，包含大号可读文字。文字应清晰、正确成形、易于阅读。,prompt_violating,yes,False,True,,,excluded_uncertain,False,missing_adjudicator_final_permission,
B3_P,B3,image/B3.png,A2,Text,乱码文字/不可读文字,permitted,illegible or distorted text,乱码文字/不可读文字,"An abstract experimental poster with illegible dreamlike typography, distorted letters used as visual texture, avant-garde design.",An abstract experimental poster using illegible dreamlike typography. The distorted letter-like marks are intended as visual texture rather than readable text.,抽象实验海报，使用不可读的梦境式字体。扭曲的类字母符号被设计为视觉纹理，而非可读文字。,prompt_required,no,False,True,prompt_required,no,metadata_stable,True,,
B3_A,B3,image/B3.png,A2,Text,乱码文字/不可读文字,ambiguous,illegible or distorted text,乱码文字/不可读文字,"An abstract experimental poster with illegible dreamlike typography, distorted letters used as visual texture, avant-garde design.",A creative poster using expressive typography and distorted letterforms.,使用表现性字体和扭曲字形的创意海报。,ambiguous,uncertain,False,True,,,excluded_uncertain,False,missing_adjudicator_final_permission,
B4_V,B4,image/B4.png,A2,Text,乱码文字/不可读文字,violating,illegible or distorted text,乱码文字/不可读文字,"An abstract experimental poster with illegible dreamlike typography, distorted letters used as visual texture, avant-garde design.","A clean professional advertisement poster with large readable text. The text should be clear, correctly formed, and easy to read.",干净专业的广告海报，包含大号可读文字。文字应清晰、正确成形、易于阅读。,prompt_violating,yes,False,True,,,excluded_uncertain,False,missing_adjudicator_final_permission,
B4_P,B4,image/B4.png,A2,Text,乱码文字/不可读文字,permitted,illegible or distorted text,乱码文字/不可读文字,"An abstract experimental poster with illegible dreamlike typography, distorted letters used as visual texture, avant-garde design.",An abstract experimental poster using illegible dreamlike typography. The distorted letter-like marks are intended as visual texture rather than readable text.,抽象实验海报，使用不可读的梦境式字体。扭曲的类字母符号被设计为视觉纹理，而非可读文字。,prompt_required,no,False,True,prompt_required,no,metadata_stable,True,,
B4_A,B4,image/B4.png,A2,Text,乱码文字/不可读文字,ambiguous,illegible or distorted text,乱码文字/不可读文字,"An abstract experimental poster with illegible dreamlike typography, distorted letters used as visual texture, avant-garde design.",A creative poster using expressive typography and distorted letterforms.,使用表现性字体和扭曲字形的创意海报。,ambiguous,uncertain,False,True,,,excluded_uncertain,False,missing_adjudicator_final_permission,
B5_V,B5,image/B5.png,A2,Text,乱码文字/不可读文字,violating,illegible or distorted text,乱码文字/不可读文字,"An abstract experimental poster with illegible dreamlike typography, distorted letters used as visual texture, avant-garde design.","A clean professional advertisement poster with large readable text. The text should be clear, correctly formed, and easy to read.",干净专业的广告海报，包含大号可读文字。文字应清晰、正确成形、易于阅读。,prompt_violating,yes,False,True,,,excluded_uncertain,False,missing_adjudicator_final_permission,
B5_P,B5,image/B5.png,A2,Text,乱码文字/不可读文字,permitted,illegible or distorted text,乱码文字/不可读文字,"An abstract experimental poster with illegible dreamlike typography, distorted letters used as visual texture, avant-garde design.",An abstract experimental poster using illegible dreamlike typography. The distorted letter-like marks are intended as visual texture rather than readable text.,抽象实验海报，使用不可读的梦境式字体。扭曲的类字母符号被设计为视觉纹理，而非可读文字。,prompt_required,no,False,True,prompt_required,no,metadata_stable,True,,
B5_A,B5,image/B5.png,A2,Text,乱码文字/不可读文字,ambiguous,illegible or distorted text,乱码文字/不可读文字,"An abstract experimental poster with illegible dreamlike typography, distorted letters used as visual texture, avant-garde design.",A creative poster using expressive typography and distorted letterforms.,使用表现性字体和扭曲字形的创意海报。,ambiguous,uncertain,False,True,,,excluded_uncertain,False,missing_adjudicator_final_permission,
B6,B6,image/B6.png,A2,Text,乱码文字/不可读文字,no_issue,none,无,A clean product advertisement poster with the exact readable text PURE WATER in large bold letters.,No-issue control for Text. The image should not contain the target anomaly.,乱码文字/不可读文字的正常控制样本。图像中不应包含目标异常。,no_issue,no,True,True,,,excluded_uncertain,False,missing_adjudicator_final_permission,
B7,B7,image/B7.png,A2,Text,乱码文字/不可读文字,no_issue,none,无,A clean product advertisement poster with the exact readable text PURE WATER in large bold letters.,No-issue control for Text. The image should not contain the target anomaly.,乱码文字/不可读文字的正常控制样本。图像中不应包含目标异常。,no_issue,no,True,True,,,excluded_uncertain,False,missing_adjudicator_final_permission,
B8,B8,image/B8.png,A2,Text,乱码文字/不可读文字,no_issue,none,无,A clean product advertisement poster with the exact readable text PURE WATER in large bold letters.,No-issue control for Text. The image should not contain the target anomaly.,乱码文字/不可读文字的正常控制样本。图像中不应包含目标异常。,no_issue,no,True,True,,,excluded_uncertain,False,missing_adjudicator_final_permission,
C1_V,C1,image/C1.png,A3,Physics,物理不合理/反重力,violating,upward-flowing water or reversed gravity,水往上流/反重力,"A dream world where water flows upward into the sky, reversed gravity, surreal landscape, cinematic lighting.","A realistic landscape with normal gravity and physically plausible water movement. Rivers, rain, and waterfalls should move naturally downward.",真实风景，具有正常重力和物理合理的水流。河流、雨水和瀑布应自然向下运动。,prompt_violating,yes,False,True,prompt_violating,yes,metadata_stable,True,,
C1_P,C1,image/C1.png,A3,Physics,物理不合理/反重力,permitted,upward-flowing water or reversed gravity,水往上流/反重力,"A dream world where water flows upward into the sky, reversed gravity, surreal landscape, cinematic lighting.","A dream world with reversed gravity, where water flows upward and physical laws are intentionally inverted.",反重力梦境世界，水流向上运动，物理规律被有意反转。,prompt_required,no,False,True,prompt_required,no,metadata_stable,True,,
C1_A,C1,image/C1.png,A3,Physics,物理不合理/反重力,ambiguous,upward-flowing water or reversed gravity,水往上流/反重力,"A dream world where water flows upward into the sky, reversed gravity, surreal landscape, cinematic lighting.",A strange poetic landscape with unusual water movement and dreamlike atmosphere.,具有梦境氛围的奇异诗意风景，水流运动不同寻常。,ambiguous,uncertain,False,True,,,excluded_uncertain,False,missing_adjudicator_final_permission,
C2_V,C2,image/C2.png,A3,Physics,物理不合理/反重力,violating,upward-flowing water or reversed gravity,水往上流/反重力,"A dream world where water flows upward into the sky, reversed gravity, surreal landscape, cinematic lighting.","A realistic landscape with normal gravity and physically plausible water movement. Rivers, rain, and waterfalls should move naturally downward.",真实风景，具有正常重力和物理合理的水流。河流、雨水和瀑布应自然向下运动。,prompt_violating,yes,False,True,prompt_violating,yes,metadata_stable,True,,
C2_P,C2,image/C2.png,A3,Physics,物理不合理/反重力,permitted,upward-flowing water or reversed gravity,水往上流/反重力,"A dream world where water flows upward into the sky, reversed gravity, surreal landscape, cinematic lighting.","A dream world with reversed gravity, where water flows upward and physical laws are intentionally inverted.",反重力梦境世界，水流向上运动，物理规律被有意反转。,prompt_required,no,False,True,prompt_required,no,metadata_stable,True,,
C2_A,C2,image/C2.png,A3,Physics,物理不合理/反重力,ambiguous,upward-flowing water or reversed gravity,水往上流/反重力,"A dream world where water flows upward into the sky, reversed gravity, surreal landscape, cinematic lighting.",A strange poetic landscape with unusual water movement and dreamlike atmosphere.,具有梦境氛围的奇异诗意风景，水流运动不同寻常。,ambiguous,uncertain,False,True,,,excluded_uncertain,False,missing_adjudicator_final_permission,
C3_V,C3,image/C3.png,A3,Physics,物理不合理/反重力,violating,upward-flowing water or reversed gravity,水往上流/反重力,"A dream world where water flows upward into the sky, reversed gravity, surreal landscape, cinematic lighting.","A realistic landscape with normal gravity and physically plausible water movement. Rivers, rain, and waterfalls should move naturally downward.",真实风景，具有正常重力和物理合理的水流。河流、雨水和瀑布应自然向下运动。,prompt_violating,yes,False,True,,,excluded_uncertain,False,missing_adjudicator_final_permission,
C3_P,C3,image/C3.png,A3,Physics,物理不合理/反重力,permitted,upward-flowing water or reversed gravity,水往上流/反重力,"A dream world where water flows upward into the sky, reversed gravity, surreal landscape, cinematic lighting.","A dream world with reversed gravity, where water flows upward and physical laws are intentionally inverted.",反重力梦境世界，水流向上运动，物理规律被有意反转。,prompt_required,no,False,True,,,excluded_uncertain,False,missing_adjudicator_final_permission,
C3_A,C3,image/C3.png,A3,Physics,物理不合理/反重力,ambiguous,upward-flowing water or reversed gravity,水往上流/反重力,"A dream world where water flows upward into the sky, reversed gravity, surreal landscape, cinematic lighting.",A strange poetic landscape with unusual water movement and dreamlike atmosphere.,具有梦境氛围的奇异诗意风景，水流运动不同寻常。,ambiguous,uncertain,False,True,,,excluded_uncertain,False,missing_adjudicator_final_permission,
C4_V,C4,image/C4.png,A3,Physics,物理不合理/反重力,violating,upward-flowing water or reversed gravity,水往上流/反重力,"A dream world where water flows upward into the sky, reversed gravity, surreal landscape, cinematic lighting.","A realistic landscape with normal gravity and physically plausible water movement. Rivers, rain, and waterfalls should move naturally downward.",真实风景，具有正常重力和物理合理的水流。河流、雨水和瀑布应自然向下运动。,prompt_violating,yes,False,True,prompt_violating,yes,metadata_stable,True,,
C4_P,C4,image/C4.png,A3,Physics,物理不合理/反重力,permitted,upward-flowing water or reversed gravity,水往上流/反重力,"A dream world where water flows upward into the sky, reversed gravity, surreal landscape, cinematic lighting.","A dream world with reversed gravity, where water flows upward and physical laws are intentionally inverted.",反重力梦境世界，水流向上运动，物理规律被有意反转。,prompt_required,no,False,True,prompt_required,no,metadata_stable,True,,
C4_A,C4,image/C4.png,A3,Physics,物理不合理/反重力,ambiguous,upward-flowing water or reversed gravity,水往上流/反重力,"A dream world where water flows upward into the sky, reversed gravity, surreal landscape, cinematic lighting.",A strange poetic landscape with unusual water movement and dreamlike atmosphere.,具有梦境氛围的奇异诗意风景，水流运动不同寻常。,ambiguous,uncertain,False,True,,,excluded_uncertain,False,missing_adjudicator_final_permission,
C5_V,C5,image/C5.png,A3,Physics,物理不合理/反重力,violating,upward-flowing water or reversed gravity,水往上流/反重力,"A dream world where water flows upward into the sky, reversed gravity, surreal landscape, cinematic lighting.","A realistic landscape with normal gravity and physically plausible water movement. Rivers, rain, and waterfalls should move naturally downward.",真实风景，具有正常重力和物理合理的水流。河流、雨水和瀑布应自然向下运动。,prompt_violating,yes,False,True,prompt_violating,yes,metadata_stable,True,,
C5_P,C5,image/C5.png,A3,Physics,物理不合理/反重力,permitted,upward-flowing water or reversed gravity,水往上流/反重力,"A dream world where water flows upward into the sky, reversed gravity, surreal landscape, cinematic lighting.","A dream world with reversed gravity, where water flows upward and physical laws are intentionally inverted.",反重力梦境世界，水流向上运动，物理规律被有意反转。,prompt_required,no,False,True,prompt_required,no,metadata_stable,True,,
C5_A,C5,image/C5.png,A3,Physics,物理不合理/反重力,ambiguous,upward-flowing water or reversed gravity,水往上流/反重力,"A dream world where water flows upward into the sky, reversed gravity, surreal landscape, cinematic lighting.",A strange poetic landscape with unusual water movement and dreamlike atmosphere.,具有梦境氛围的奇异诗意风景，水流运动不同寻常。,ambiguous,uncertain,False,True,,,excluded_uncertain,False,missing_adjudicator_final_permission,
C6,C6,image/C6.png,A3,Physics,物理不合理/反重力,no_issue,none,无,"A realistic landscape photograph of a river flowing downhill through a valley, natural gravity and realistic lighting.",No-issue control for Physics. The image should not contain the target anomaly.,物理不合理/反重力的正常控制样本。图像中不应包含目标异常。,no_issue,no,True,True,,,excluded_uncertain,False,missing_adjudicator_final_permission,
C7,C7,image/C7.png,A3,Physics,物理不合理/反重力,no_issue,none,无,"A realistic landscape photograph of a river flowing downhill through a valley, natural gravity and realistic lighting.",No-issue control for Physics. The image should not contain the target anomaly.,物理不合理/反重力的正常控制样本。图像中不应包含目标异常。,no_issue,no,True,True,,,excluded_uncertain,False,missing_adjudicator_final_permission,
C8,C8,image/C8.png,A3,Physics,物理不合理/反重力,no_issue,none,无,"A realistic landscape photograph of a river flowing downhill through a valley, natural gravity and realistic lighting.",No-issue control for Physics. The image should not contain the target anomaly.,物理不合理/反重力的正常控制样本。图像中不应包含目标异常。,no_issue,no,True,True,,,excluded_uncertain,False,missing_adjudicator_final_permission,
D1_V,D1,image/D1.png,A4,Object Fusion,人-物融合,violating,human-chair fusion,人和椅子融合,"A surreal sculpture of a human body gradually merging into a chair, hybrid furniture-human form, gallery installation, realistic material detail.","A realistic office or interior scene where a person and a chair are clearly separate objects, with normal body posture and normal furniture structure.",真实办公室或室内场景，人物和椅子应是清楚分离的对象，人体姿势和家具结构正常。,prompt_violating,yes,False,True,prompt_violating,yes,metadata_stable,True,,
D1_P,D1,image/D1.png,A4,Object Fusion,人-物融合,permitted,human-chair fusion,人和椅子融合,"A surreal sculpture of a human body gradually merging into a chair, hybrid furniture-human form, gallery installation, realistic material detail.",A surreal human-chair hybrid sculpture in which the human body and chair intentionally merge into a single artistic form.,超现实人椅混合雕塑，人体与椅子被有意融合为一个艺术形体。,prompt_required,no,False,True,prompt_required,no,metadata_stable,True,,
D1_A,D1,image/D1.png,A4,Object Fusion,人-物融合,ambiguous,human-chair fusion,人和椅子融合,"A surreal sculpture of a human body gradually merging into a chair, hybrid furniture-human form, gallery installation, realistic material detail.",An artistic scene of a person and chair forming an unusual visual relationship.,一个人物和椅子形成不寻常视觉关系的艺术场景。,ambiguous,uncertain,False,True,,,excluded_uncertain,False,missing_adjudicator_final_permission,
D2_V,D2,image/D2.png,A4,Object Fusion,人-物融合,violating,human-chair fusion,人和椅子融合,"A surreal sculpture of a human body gradually merging into a chair, hybrid furniture-human form, gallery installation, realistic material detail.","A realistic office or interior scene where a person and a chair are clearly separate objects, with normal body posture and normal furniture structure.",真实办公室或室内场景，人物和椅子应是清楚分离的对象，人体姿势和家具结构正常。,prompt_violating,yes,False,True,prompt_violating,yes,metadata_stable,True,,
D2_P,D2,image/D2.png,A4,Object Fusion,人-物融合,permitted,human-chair fusion,人和椅子融合,"A surreal sculpture of a human body gradually merging into a chair, hybrid furniture-human form, gallery installation, realistic material detail.",A surreal human-chair hybrid sculpture in which the human body and chair intentionally merge into a single artistic form.,超现实人椅混合雕塑，人体与椅子被有意融合为一个艺术形体。,prompt_required,no,False,True,prompt_required,no,metadata_stable,True,,
D2_A,D2,image/D2.png,A4,Object Fusion,人-物融合,ambiguous,human-chair fusion,人和椅子融合,"A surreal sculpture of a human body gradually merging into a chair, hybrid furniture-human form, gallery installation, realistic material detail.",An artistic scene of a person and chair forming an unusual visual relationship.,一个人物和椅子形成不寻常视觉关系的艺术场景。,ambiguous,uncertain,False,True,,,excluded_uncertain,False,missing_adjudicator_final_permission,
D3_V,D3,image/D3.png,A4,Object Fusion,人-物融合,violating,human-chair fusion,人和椅子融合,"A surreal sculpture of a human body gradually merging into a chair, hybrid furniture-human form, gallery installation, realistic material detail.","A realistic office or interior scene where a person and a chair are clearly separate objects, with normal body posture and normal furniture structure.",真实办公室或室内场景，人物和椅子应是清楚分离的对象，人体姿势和家具结构正常。,prompt_violating,yes,False,True,prompt_violating,yes,metadata_stable,True,,
D3_P,D3,image/D3.png,A4,Object Fusion,人-物融合,permitted,human-chair fusion,人和椅子融合,"A surreal sculpture of a human body gradually merging into a chair, hybrid furniture-human form, gallery installation, realistic material detail.",A surreal human-chair hybrid sculpture in which the human body and chair intentionally merge into a single artistic form.,超现实人椅混合雕塑，人体与椅子被有意融合为一个艺术形体。,prompt_required,no,False,True,prompt_required,no,metadata_stable,True,,
D3_A,D3,image/D3.png,A4,Object Fusion,人-物融合,ambiguous,human-chair fusion,人和椅子融合,"A surreal sculpture of a human body gradually merging into a chair, hybrid furniture-human form, gallery installation, realistic material detail.",An artistic scene of a person and chair forming an unusual visual relationship.,一个人物和椅子形成不寻常视觉关系的艺术场景。,ambiguous,uncertain,False,True,,,excluded_uncertain,False,missing_adjudicator_final_permission,
D4_V,D4,image/D4.png,A4,Object Fusion,人-物融合,violating,human-chair fusion,人和椅子融合,"A surreal sculpture of a human body gradually merging into a chair, hybrid furniture-human form, gallery installation, realistic material detail.","A realistic office or interior scene where a person and a chair are clearly separate objects, with normal body posture and normal furniture structure.",真实办公室或室内场景，人物和椅子应是清楚分离的对象，人体姿势和家具结构正常。,prompt_violating,yes,False,True,,,excluded_uncertain,False,missing_adjudicator_final_permission,
D4_P,D4,image/D4.png,A4,Object Fusion,人-物融合,permitted,human-chair fusion,人和椅子融合,"A surreal sculpture of a human body gradually merging into a chair, hybrid furniture-human form, gallery installation, realistic material detail.",A surreal human-chair hybrid sculpture in which the human body and chair intentionally merge into a single artistic form.,超现实人椅混合雕塑，人体与椅子被有意融合为一个艺术形体。,prompt_required,no,False,True,prompt_required,no,metadata_stable,True,,
