sample_id,condition,target_anomaly,prompt,metadata_gold_permission,rater_A_permission,rater_B_permission,rater_C_permission,rater_A_visibility,rater_B_visibility,rater_C_visibility,majority_permission,majority_is_safe,adjudication_priority,adjudication_question,recommended_initial_gold,adjudicator_final_permission,adjudicator_rationale,gold_source
E6,no_issue,none,No-issue control for Count / Repetition. The image should not contain the target anomaly.,no_issue,no_issue,prompt_required,prompt_required,no,no,yes,prompt_required,False,HIGH,"Is the target anomaly absent/no visible issue? If so, final label should be no_issue rather than prompt_required.",no_issue,,,
E7,no_issue,none,No-issue control for Count / Repetition. The image should not contain the target anomaly.,no_issue,no_issue,prompt_required,prompt_required,no,no,yes,prompt_required,False,HIGH,"Is the target anomaly absent/no visible issue? If so, final label should be no_issue rather than prompt_required.",no_issue,,,
E8,no_issue,none,No-issue control for Count / Repetition. The image should not contain the target anomaly.,no_issue,no_issue,prompt_required,prompt_required,no,no,yes,prompt_required,False,HIGH,"Is the target anomaly absent/no visible issue? If so, final label should be no_issue rather than prompt_required.",no_issue,,,
F6,no_issue,none,No-issue control for Spatial / Impossible Geometry. The image should not contain the target anomaly.,no_issue,no_issue,prompt_required,prompt_required,no,no,yes,prompt_required,False,HIGH,"Is the target anomaly absent/no visible issue? If so, final label should be no_issue rather than prompt_required.",no_issue,,,
F7,no_issue,none,No-issue control for Spatial / Impossible Geometry. The image should not contain the target anomaly.,no_issue,no_issue,prompt_required,prompt_required,no,no,yes,prompt_required,False,HIGH,"Is the target anomaly absent/no visible issue? If so, final label should be no_issue rather than prompt_required.",no_issue,,,
F8,no_issue,none,No-issue control for Spatial / Impossible Geometry. The image should not contain the target anomaly.,no_issue,no_issue,prompt_required,prompt_required,no,no,yes,prompt_required,False,HIGH,"Is the target anomaly absent/no visible issue? If so, final label should be no_issue rather than prompt_required.",no_issue,,,
G6,no_issue,none,No-issue control for Scale / Proportion. The image should not contain the target anomaly.,no_issue,prompt_violating,prompt_required,prompt_required,yes,no,yes,prompt_required,False,HIGH,"Is the target anomaly absent/no visible issue? If so, final label should be no_issue rather than prompt_required.",no_issue,,,
G7,no_issue,none,No-issue control for Scale / Proportion. The image should not contain the target anomaly.,no_issue,no_issue,prompt_required,prompt_required,no,no,yes,prompt_required,False,HIGH,"Is the target anomaly absent/no visible issue? If so, final label should be no_issue rather than prompt_required.",no_issue,,,
G8,no_issue,none,No-issue control for Scale / Proportion. The image should not contain the target anomaly.,no_issue,no_issue,prompt_required,prompt_required,no,no,yes,prompt_required,False,HIGH,"Is the target anomaly absent/no visible issue? If so, final label should be no_issue rather than prompt_required.",no_issue,,,
H6,no_issue,none,No-issue control for Artistic Deformation. The image should not contain the target anomaly.,no_issue,no_issue,prompt_required,prompt_required,no,no,yes,prompt_required,False,HIGH,"Is the target anomaly absent/no visible issue? If so, final label should be no_issue rather than prompt_required.",no_issue,,,
H7,no_issue,none,No-issue control for Artistic Deformation. The image should not contain the target anomaly.,no_issue,no_issue,prompt_required,prompt_required,no,no,yes,prompt_required,False,HIGH,"Is the target anomaly absent/no visible issue? If so, final label should be no_issue rather than prompt_required.",no_issue,,,
H8,no_issue,none,No-issue control for Artistic Deformation. The image should not contain the target anomaly.,no_issue,no_issue,prompt_required,prompt_required,no,no,yes,prompt_required,False,HIGH,"Is the target anomaly absent/no visible issue? If so, final label should be no_issue rather than prompt_required.",no_issue,,,
C3_P,permitted,upward-flowing water or reversed gravity,"A dream world with reversed gravity, where water flows upward and physical laws are intentionally inverted.",prompt_required,prompt_required,prompt_violating,prompt_violating,yes,no,yes,prompt_violating,False,HIGH,"Does visibility disagreement change the permission judgement, or is the target anomaly visible enough to judge against the prompt?",prompt_violating,,,
C3_V,violating,upward-flowing water or reversed gravity,"A realistic landscape with normal gravity and physically plausible water movement. Rivers, rain, and waterfalls should move naturally downward.",prompt_violating,prompt_violating,prompt_required,prompt_required,yes,no,yes,prompt_required,False,HIGH,"Does visibility disagreement change the permission judgement, or is the target anomaly visible enough to judge against the prompt?",prompt_required,,,
A1_P,permitted,six fingers / extra fingers,A surreal portrait of an alien-human performer with six elegant fingers on each hand. The unusual hands are an intentional part of the character design.,prompt_required,prompt_required,prompt_required,prompt_required,unclear,yes,yes,prompt_required,False,MEDIUM,"Does visibility disagreement change the permission judgement, or is the target anomaly visible enough to judge against the prompt?",prompt_required,,,
A4_P,permitted,six fingers / extra fingers,A surreal portrait of an alien-human performer with six elegant fingers on each hand. The unusual hands are an intentional part of the character design.,prompt_required,prompt_required,prompt_violating,prompt_required,yes,unclear,yes,prompt_required,False,MEDIUM,"Does visibility disagreement change the permission judgement, or is the target anomaly visible enough to judge against the prompt?",prompt_required,,,
D5_P,permitted,human-chair fusion,A surreal human-chair hybrid sculpture in which the human body and chair intentionally merge into a single artistic form.,prompt_required,prompt_required,prompt_violating,prompt_required,yes,no,yes,prompt_required,False,MEDIUM,"Does visibility disagreement change the permission judgement, or is the target anomaly visible enough to judge against the prompt?",prompt_required,,,
A1_V,violating,six fingers / extra fingers,A realistic studio portrait of a human performer with natural anatomy. Both hands should be visible and each hand should have exactly five fingers.,prompt_violating,prompt_violating,prompt_violating,prompt_violating,yes,no,yes,prompt_violating,False,MEDIUM,"Does visibility disagreement change the permission judgement, or is the target anomaly visible enough to judge against the prompt?",prompt_violating,,,
A3_V,violating,six fingers / extra fingers,A realistic studio portrait of a human performer with natural anatomy. Both hands should be visible and each hand should have exactly five fingers.,prompt_violating,prompt_violating,prompt_violating,prompt_violating,yes,no,yes,prompt_violating,False,MEDIUM,"Does visibility disagreement change the permission judgement, or is the target anomaly visible enough to judge against the prompt?",prompt_violating,,,
A5_V,violating,six fingers / extra fingers,A realistic studio portrait of a human performer with natural anatomy. Both hands should be visible and each hand should have exactly five fingers.,prompt_violating,prompt_violating,prompt_required,prompt_violating,yes,no,yes,prompt_violating,False,MEDIUM,"Does visibility disagreement change the permission judgement, or is the target anomaly visible enough to judge against the prompt?",prompt_violating,,,
B1_V,violating,illegible or distorted text,"A clean professional advertisement poster with large readable text. The text should be clear, correctly formed, and easy to read.",prompt_violating,prompt_violating,prompt_violating,prompt_violating,yes,yes,no,prompt_violating,False,MEDIUM,"Does visibility disagreement change the permission judgement, or is the target anomaly visible enough to judge against the prompt?",prompt_violating,,,
B2_V,violating,illegible or distorted text,"A clean professional advertisement poster with large readable text. The text should be clear, correctly formed, and easy to read.",prompt_violating,prompt_violating,prompt_violating,prompt_violating,yes,yes,no,prompt_violating,False,MEDIUM,"Does visibility disagreement change the permission judgement, or is the target anomaly visible enough to judge against the prompt?",prompt_violating,,,
B3_V,violating,illegible or distorted text,"A clean professional advertisement poster with large readable text. The text should be clear, correctly formed, and easy to read.",prompt_violating,prompt_violating,prompt_violating,prompt_violating,yes,yes,no,prompt_violating,False,MEDIUM,"Does visibility disagreement change the permission judgement, or is the target anomaly visible enough to judge against the prompt?",prompt_violating,,,
B4_V,violating,illegible or distorted text,"A clean professional advertisement poster with large readable text. The text should be clear, correctly formed, and easy to read.",prompt_violating,prompt_violating,prompt_violating,prompt_violating,yes,yes,no,prompt_violating,False,MEDIUM,"Does visibility disagreement change the permission judgement, or is the target anomaly visible enough to judge against the prompt?",prompt_violating,,,
B5_V,violating,illegible or distorted text,"A clean professional advertisement poster with large readable text. The text should be clear, correctly formed, and easy to read.",prompt_violating,prompt_violating,prompt_violating,prompt_violating,yes,yes,no,prompt_violating,False,MEDIUM,"Does visibility disagreement change the permission judgement, or is the target anomaly visible enough to judge against the prompt?",prompt_violating,,,
D4_V,violating,human-chair fusion,"A realistic office or interior scene where a person and a chair are clearly separate objects, with normal body posture and normal furniture structure.",prompt_violating,prompt_violating,prompt_violating,prompt_violating,yes,no,yes,prompt_violating,False,MEDIUM,"Does visibility disagreement change the permission judgement, or is the target anomaly visible enough to judge against the prompt?",prompt_violating,,,
D5_V,violating,human-chair fusion,"A realistic office or interior scene where a person and a chair are clearly separate objects, with normal body posture and normal furniture structure.",prompt_violating,prompt_violating,ambiguous,prompt_violating,yes,no,yes,prompt_violating,False,MEDIUM,"Does visibility disagreement change the permission judgement, or is the target anomaly visible enough to judge against the prompt?",prompt_violating,,,
