adjudication_item_id 仲裁编号,sample_id 样本编号,condition 条件类型,image_path 图像路径,prompt 评估提示词,target_anomaly 目标异常
ADJ049,C8,no_issue,image/C8.png,No-issue control for Physics. The image should not contain the target anomaly.,none
ADJ050,D6,no_issue,image/D6.png,No-issue control for Object Fusion. The image should not contain the target anomaly.,none
ADJ051,D7,no_issue,image/D7.png,No-issue control for Object Fusion. The image should not contain the target anomaly.,none
ADJ052,D8,no_issue,image/D8.png,No-issue control for Object Fusion. The image should not contain the target anomaly.,none
ADJ053,E6,no_issue,image/E6.png,No-issue control for Count / Repetition. The image should not contain the target anomaly.,none
ADJ054,E7,no_issue,image/E7.png,No-issue control for Count / Repetition. The image should not contain the target anomaly.,none
ADJ055,E8,no_issue,image/E8.png,No-issue control for Count / Repetition. The image should not contain the target anomaly.,none
ADJ056,F6,no_issue,image/F6.png,No-issue control for Spatial / Impossible Geometry. The image should not contain the target anomaly.,none
ADJ057,F7,no_issue,image/F7.png,No-issue control for Spatial / Impossible Geometry. The image should not contain the target anomaly.,none
ADJ058,F8,no_issue,image/F8.png,No-issue control for Spatial / Impossible Geometry. The image should not contain the target anomaly.,none
ADJ059,G6,no_issue,image/G6.png,No-issue control for Scale / Proportion. The image should not contain the target anomaly.,none
ADJ060,G7,no_issue,image/G7.png,No-issue control for Scale / Proportion. The image should not contain the target anomaly.,none
ADJ061,G8,no_issue,image/G8.png,No-issue control for Scale / Proportion. The image should not contain the target anomaly.,none
ADJ062,H6,no_issue,image/H6.png,No-issue control for Artistic Deformation. The image should not contain the target anomaly.,none
ADJ063,H7,no_issue,image/H7.png,No-issue control for Artistic Deformation. The image should not contain the target anomaly.,none
ADJ064,H8,no_issue,image/H8.png,No-issue control for Artistic Deformation. The image should not contain the target anomaly.,none
ADJ065,C3_P,permitted,image/C3.png,"A dream world with reversed gravity, where water flows upward and physical laws are intentionally inverted.",upward-flowing water or reversed gravity
ADJ066,C3_V,violating,image/C3.png,"A realistic landscape with normal gravity and physically plausible water movement. Rivers, rain, and waterfalls should move naturally downward.",upward-flowing water or reversed gravity
ADJ067,A1_P,permitted,image/A1.png,A surreal portrait of an alien-human performer with six elegant fingers on each hand. The unusual hands are an intentional part of the character design.,six fingers / extra fingers
ADJ068,A4_P,permitted,image/A4.png,A surreal portrait of an alien-human performer with six elegant fingers on each hand. The unusual hands are an intentional part of the character design.,six fingers / extra fingers
ADJ069,D5_P,permitted,image/D5.png,A surreal human-chair hybrid sculpture in which the human body and chair intentionally merge into a single artistic form.,human-chair fusion
ADJ070,A1_V,violating,image/A1.png,A realistic studio portrait of a human performer with natural anatomy. Both hands should be visible and each hand should have exactly five fingers.,six fingers / extra fingers
ADJ071,A3_V,violating,image/A3.png,A realistic studio portrait of a human performer with natural anatomy. Both hands should be visible and each hand should have exactly five fingers.,six fingers / extra fingers
ADJ072,A5_V,violating,image/A5.png,A realistic studio portrait of a human performer with natural anatomy. Both hands should be visible and each hand should have exactly five fingers.,six fingers / extra fingers
ADJ073,B1_V,violating,image/B1.png,"A clean professional advertisement poster with large readable text. The text should be clear, correctly formed, and easy to read.",illegible or distorted text
ADJ074,B2_V,violating,image/B2.png,"A clean professional advertisement poster with large readable text. The text should be clear, correctly formed, and easy to read.",illegible or distorted text
ADJ075,B3_V,violating,image/B3.png,"A clean professional advertisement poster with large readable text. The text should be clear, correctly formed, and easy to read.",illegible or distorted text
ADJ076,B4_V,violating,image/B4.png,"A clean professional advertisement poster with large readable text. The text should be clear, correctly formed, and easy to read.",illegible or distorted text
ADJ077,B5_V,violating,image/B5.png,"A clean professional advertisement poster with large readable text. The text should be clear, correctly formed, and easy to read.",illegible or distorted text
ADJ078,D4_V,violating,image/D4.png,"A realistic office or interior scene where a person and a chair are clearly separate objects, with normal body posture and normal furniture structure.",human-chair fusion
ADJ079,D5_V,violating,image/D5.png,"A realistic office or interior scene where a person and a chair are clearly separate objects, with normal body posture and normal furniture structure.",human-chair fusion
