sample_id,image_id,image_path,axis_code,axis_en,condition,target_anomaly_en,permission_gold,hallucination_gold,rater1_permission,rater1_hallucination,rater1_visible,rater1_confidence,rater1_issue_tag,rater1_comment,rater1_gold_permission_match,rater1_gold_hallucination_match,gpt_5_4_permission,gpt_5_4_hallucination,gpt_5_4_permission_match_rater1,gpt_5_4_hallucination_match_rater1,gpt_5_4_both_match_rater1,claude_sonnet_4_6_permission,claude_sonnet_4_6_hallucination,claude_sonnet_4_6_permission_match_rater1,claude_sonnet_4_6_hallucination_match_rater1,claude_sonnet_4_6_both_match_rater1,gemini_3_1_pro_preview_permission,gemini_3_1_pro_preview_hallucination,gemini_3_1_pro_preview_permission_match_rater1,gemini_3_1_pro_preview_hallucination_match_rater1,gemini_3_1_pro_preview_both_match_rater1
B7,B7,image/B7.png,A2,Text,no_issue,none,no_issue,no,ambiguous,uncertain,no,2,prompt_mismatch,提示要求混乱,False,False,no_issue,no,False,False,False,no_issue,no,False,False,False,no_issue,no,False,False,False
B8,B8,image/B8.png,A2,Text,no_issue,none,no_issue,no,ambiguous,uncertain,no,2,prompt_mismatch,提示要求混乱,False,False,no_issue,no,False,False,False,no_issue,no,False,False,False,no_issue,no,False,False,False
C1_V,C1,image/C1.png,A3,Physics,violating,upward-flowing water or reversed gravity,prompt_violating,yes,prompt_violating,yes,yes,3,none,,True,True,prompt_violating,yes,True,True,True,prompt_violating,yes,True,True,True,prompt_violating,yes,True,True,True
C1_P,C1,image/C1.png,A3,Physics,permitted,upward-flowing water or reversed gravity,prompt_required,no,prompt_required,no,yes,2,none,,True,True,prompt_required,no,True,True,True,prompt_required,no,True,True,True,prompt_required,no,True,True,True
C1_A,C1,image/C1.png,A3,Physics,ambiguous,upward-flowing water or reversed gravity,ambiguous,uncertain,prompt_required,no,yes,2,none,,False,False,prompt_permitted,no,False,True,False,prompt_permitted,no,False,True,False,prompt_permitted,no,False,True,False
C2_V,C2,image/C2.png,A3,Physics,violating,upward-flowing water or reversed gravity,prompt_violating,yes,prompt_violating,yes,yes,3,none,,True,True,prompt_violating,yes,True,True,True,prompt_violating,yes,True,True,True,prompt_violating,yes,True,True,True
C2_P,C2,image/C2.png,A3,Physics,permitted,upward-flowing water or reversed gravity,prompt_required,no,prompt_required,no,yes,3,none,,True,True,prompt_required,no,True,True,True,prompt_required,no,True,True,True,prompt_required,no,True,True,True
C2_A,C2,image/C2.png,A3,Physics,ambiguous,upward-flowing water or reversed gravity,ambiguous,uncertain,prompt_required,no,yes,3,none,,False,False,prompt_permitted,no,False,True,False,prompt_permitted,no,False,True,False,prompt_permitted,no,False,True,False
C3_V,C3,image/C3.png,A3,Physics,violating,upward-flowing water or reversed gravity,prompt_violating,yes,prompt_required,no,no,2,none,,False,False,no_issue,no,False,True,False,prompt_violating,yes,False,False,False,prompt_violating,yes,False,False,False
C3_P,C3,image/C3.png,A3,Physics,permitted,upward-flowing water or reversed gravity,prompt_required,no,prompt_violating,yes,no,2,none,,False,False,prompt_required,no,False,False,False,prompt_required,no,False,False,False,prompt_required,no,False,False,False
C3_A,C3,image/C3.png,A3,Physics,ambiguous,upward-flowing water or reversed gravity,ambiguous,uncertain,prompt_violating,yes,no,2,none,,False,False,prompt_permitted,no,False,False,False,prompt_permitted,no,False,False,False,prompt_permitted,no,False,False,False
C4_V,C4,image/C4.png,A3,Physics,violating,upward-flowing water or reversed gravity,prompt_violating,yes,prompt_violating,yes,yes,1,none,,True,True,prompt_violating,yes,True,True,True,prompt_violating,yes,True,True,True,prompt_violating,yes,True,True,True
C4_P,C4,image/C4.png,A3,Physics,permitted,upward-flowing water or reversed gravity,prompt_required,no,prompt_required,no,yes,2,none,,True,True,prompt_required,no,True,True,True,prompt_required,no,True,True,True,prompt_required,no,True,True,True
C4_A,C4,image/C4.png,A3,Physics,ambiguous,upward-flowing water or reversed gravity,ambiguous,uncertain,prompt_required,no,yes,1,none,,False,False,prompt_permitted,no,False,True,False,prompt_permitted,no,False,True,False,prompt_permitted,no,False,True,False
C5_V,C5,image/C5.png,A3,Physics,violating,upward-flowing water or reversed gravity,prompt_violating,yes,prompt_violating,yes,yes,1,none,,True,True,prompt_violating,yes,True,True,True,prompt_violating,yes,True,True,True,prompt_violating,yes,True,True,True
C5_P,C5,image/C5.png,A3,Physics,permitted,upward-flowing water or reversed gravity,prompt_required,no,prompt_required,no,yes,2,none,,True,True,prompt_required,no,True,True,True,prompt_required,no,True,True,True,prompt_required,no,True,True,True
C5_A,C5,image/C5.png,A3,Physics,ambiguous,upward-flowing water or reversed gravity,ambiguous,uncertain,prompt_required,no,yes,2,none,,False,False,prompt_permitted,no,False,True,False,prompt_permitted,no,False,True,False,prompt_permitted,no,False,True,False
C6,C6,image/C6.png,A3,Physics,no_issue,none,no_issue,no,prompt_required,no,no,2,none,,False,True,no_issue,no,False,True,False,no_issue,no,False,True,False,no_issue,no,False,True,False
C7,C7,image/C7.png,A3,Physics,no_issue,none,no_issue,no,prompt_required,no,no,2,none,,False,True,no_issue,no,False,True,False,no_issue,no,False,True,False,no_issue,no,False,True,False
C8,C8,image/C8.png,A3,Physics,no_issue,none,no_issue,no,prompt_required,no,no,2,none,,False,True,no_issue,no,False,True,False,no_issue,no,False,True,False,prompt_violating,yes,False,False,False
D1_V,D1,image/D1.png,A4,Object Fusion,violating,human-chair fusion,prompt_violating,yes,prompt_violating,yes,yes,2,none,,True,True,prompt_violating,yes,True,True,True,prompt_violating,yes,True,True,True,prompt_violating,yes,True,True,True
D1_P,D1,image/D1.png,A4,Object Fusion,permitted,human-chair fusion,prompt_required,no,prompt_required,no,yes,1,none,,True,True,prompt_required,no,True,True,True,prompt_required,no,True,True,True,prompt_required,no,True,True,True
D1_A,D1,image/D1.png,A4,Object Fusion,ambiguous,human-chair fusion,ambiguous,uncertain,prompt_required,no,yes,1,none,,False,False,prompt_permitted,no,False,True,False,prompt_permitted,no,False,True,False,prompt_permitted,no,False,True,False
D2_V,D2,image/D2.png,A4,Object Fusion,violating,human-chair fusion,prompt_violating,yes,no_issue,no,yes,1,none,,False,False,prompt_violating,yes,False,False,False,prompt_violating,yes,False,False,False,prompt_violating,yes,False,False,False
D2_P,D2,image/D2.png,A4,Object Fusion,permitted,human-chair fusion,prompt_required,no,prompt_permitted,no,yes,1,other,提示要求异常，但画面正常,False,True,prompt_required,no,False,True,False,prompt_required,no,False,True,False,prompt_required,no,False,True,False
D2_A,D2,image/D2.png,A4,Object Fusion,ambiguous,human-chair fusion,ambiguous,uncertain,ambiguous,uncertain,unclear,1,other,提示词不清晰,True,True,prompt_permitted,no,False,False,False,prompt_required,no,False,False,False,prompt_permitted,no,False,False,False
D3_V,D3,image/D3.png,A4,Object Fusion,violating,human-chair fusion,prompt_violating,yes,prompt_violating,yes,yes,3,none,,True,True,prompt_violating,yes,True,True,True,prompt_violating,yes,True,True,True,prompt_violating,yes,True,True,True
D3_P,D3,image/D3.png,A4,Object Fusion,permitted,human-chair fusion,prompt_required,no,prompt_required,no,yes,2,none,,True,True,prompt_required,no,True,True,True,prompt_required,no,True,True,True,prompt_required,no,True,True,True
D3_A,D3,image/D3.png,A4,Object Fusion,ambiguous,human-chair fusion,ambiguous,uncertain,ambiguous,uncertain,unclear,1,none,,True,True,prompt_permitted,no,False,False,False,prompt_required,no,False,False,False,prompt_permitted,no,False,False,False
D4_V,D4,image/D4.png,A4,Object Fusion,violating,human-chair fusion,prompt_violating,yes,prompt_violating,yes,no,1,none,,True,True,prompt_violating,yes,True,True,True,prompt_violating,yes,True,True,True,prompt_violating,yes,True,True,True
D4_P,D4,image/D4.png,A4,Object Fusion,permitted,human-chair fusion,prompt_required,no,ambiguous,uncertain,yes,1,other,图像不是融合整体,False,False,prompt_required,no,False,False,False,prompt_required,no,False,False,False,prompt_required,no,False,False,False
D4_A,D4,image/D4.png,A4,Object Fusion,ambiguous,human-chair fusion,ambiguous,uncertain,ambiguous,uncertain,unclear,1,none,,True,True,prompt_permitted,no,False,False,False,prompt_required,no,False,False,False,prompt_permitted,no,False,False,False
D5_V,D5,image/D5.png,A4,Object Fusion,violating,human-chair fusion,prompt_violating,yes,ambiguous,uncertain,no,1,prompt_mismatch,提示词要求分离，但图像不是真实场景,False,False,prompt_violating,yes,False,False,False,prompt_violating,yes,False,False,False,prompt_violating,yes,False,False,False
D5_P,D5,image/D5.png,A4,Object Fusion,permitted,human-chair fusion,prompt_required,no,prompt_violating,yes,no,1,none,,False,False,prompt_required,no,False,False,False,prompt_required,no,False,False,False,prompt_required,no,False,False,False
D5_A,D5,image/D5.png,A4,Object Fusion,ambiguous,human-chair fusion,ambiguous,uncertain,ambiguous,uncertain,unclear,1,none,,True,True,prompt_permitted,no,False,False,False,prompt_required,no,False,False,False,prompt_permitted,no,False,False,False
D6,D6,image/D6.png,A4,Object Fusion,no_issue,none,no_issue,no,ambiguous,uncertain,no,1,none,,False,False,no_issue,no,False,False,False,no_issue,no,False,False,False,no_issue,no,False,False,False
D7,D7,image/D7.png,A4,Object Fusion,no_issue,none,no_issue,no,ambiguous,uncertain,unclear,1,prompt_mismatch,提示要求人与物融合，但是只有椅子,False,False,no_issue,no,False,False,False,no_issue,no,False,False,False,no_issue,no,False,False,False
D8,D8,image/D8.png,A4,Object Fusion,no_issue,none,no_issue,no,no_issue,no,unclear,1,none,,True,True,no_issue,no,True,True,True,no_issue,no,True,True,True,no_issue,no,True,True,True
E1_V,E1,image/E1.png,A5,Count / Repetition,violating,duplicated cups / excessive repetition,prompt_violating,yes,prompt_violating,yes,yes,1,none,,True,True,prompt_violating,yes,True,True,True,prompt_violating,yes,True,True,True,prompt_violating,yes,True,True,True
E1_P,E1,image/E1.png,A5,Count / Repetition,permitted,duplicated cups / excessive repetition,prompt_required,no,prompt_required,no,yes,1,none,,True,True,prompt_required,no,True,True,True,prompt_required,no,True,True,True,prompt_required,no,True,True,True
E1_A,E1,image/E1.png,A5,Count / Repetition,ambiguous,duplicated cups / excessive repetition,ambiguous,uncertain,ambiguous,uncertain,unclear,1,none,,True,True,prompt_required,no,False,False,False,prompt_required,no,False,False,False,prompt_required,no,False,False,False
E2_V,E2,image/E2.png,A5,Count / Repetition,violating,duplicated cups / excessive repetition,prompt_violating,yes,prompt_violating,yes,yes,2,none,,True,True,prompt_violating,yes,True,True,True,prompt_violating,yes,True,True,True,prompt_violating,yes,True,True,True
E2_P,E2,image/E2.png,A5,Count / Repetition,permitted,duplicated cups / excessive repetition,prompt_required,no,prompt_required,no,yes,2,none,,True,True,prompt_required,no,True,True,True,prompt_required,no,True,True,True,prompt_required,no,True,True,True
E2_A,E2,image/E2.png,A5,Count / Repetition,ambiguous,duplicated cups / excessive repetition,ambiguous,uncertain,ambiguous,uncertain,unclear,2,none,,True,True,prompt_required,no,False,False,False,prompt_required,no,False,False,False,prompt_required,no,False,False,False
E3_V,E3,image/E3.png,A5,Count / Repetition,violating,duplicated cups / excessive repetition,prompt_violating,yes,prompt_violating,yes,yes,2,none,,True,True,prompt_violating,yes,True,True,True,prompt_violating,yes,True,True,True,prompt_violating,yes,True,True,True
E3_P,E3,image/E3.png,A5,Count / Repetition,permitted,duplicated cups / excessive repetition,prompt_required,no,prompt_required,no,yes,2,none,,True,True,prompt_required,no,True,True,True,prompt_required,no,True,True,True,prompt_required,no,True,True,True
E3_A,E3,image/E3.png,A5,Count / Repetition,ambiguous,duplicated cups / excessive repetition,ambiguous,uncertain,ambiguous,uncertain,unclear,2,none,,True,True,prompt_required,no,False,False,False,prompt_required,no,False,False,False,prompt_required,no,False,False,False
E4_V,E4,image/E4.png,A5,Count / Repetition,violating,duplicated cups / excessive repetition,prompt_violating,yes,prompt_violating,yes,yes,2,none,,True,True,prompt_violating,yes,True,True,True,prompt_violating,yes,True,True,True,prompt_violating,yes,True,True,True
E4_P,E4,image/E4.png,A5,Count / Repetition,permitted,duplicated cups / excessive repetition,prompt_required,no,prompt_required,no,yes,2,none,,True,True,prompt_required,no,True,True,True,prompt_required,no,True,True,True,prompt_required,no,True,True,True
E4_A,E4,image/E4.png,A5,Count / Repetition,ambiguous,duplicated cups / excessive repetition,ambiguous,uncertain,ambiguous,uncertain,unclear,1,other,提示要求桌面，但不是完全桌面,True,True,prompt_required,no,False,False,False,prompt_required,no,False,False,False,prompt_required,no,False,False,False
E5_V,E5,image/E5.png,A5,Count / Repetition,violating,duplicated cups / excessive repetition,prompt_violating,yes,prompt_violating,yes,yes,2,none,,True,True,prompt_violating,yes,True,True,True,prompt_violating,yes,True,True,True,prompt_violating,yes,True,True,True
E5_P,E5,image/E5.png,A5,Count / Repetition,permitted,duplicated cups / excessive repetition,prompt_required,no,prompt_required,no,yes,2,none,,True,True,prompt_required,no,True,True,True,prompt_required,no,True,True,True,prompt_required,no,True,True,True
E5_A,E5,image/E5.png,A5,Count / Repetition,ambiguous,duplicated cups / excessive repetition,ambiguous,uncertain,ambiguous,uncertain,unclear,1,none,,True,True,prompt_required,no,False,False,False,prompt_required,no,False,False,False,prompt_required,no,False,False,False
E6,E6,image/E6.png,A5,Count / Repetition,no_issue,none,no_issue,no,prompt_required,no,no,1,none,,False,True,no_issue,no,False,True,False,no_issue,no,False,True,False,no_issue,no,False,True,False
E7,E7,image/E7.png,A5,Count / Repetition,no_issue,none,no_issue,no,prompt_required,no,no,2,none,,False,True,no_issue,no,False,True,False,no_issue,no,False,True,False,no_issue,no,False,True,False
E8,E8,image/E8.png,A5,Count / Repetition,no_issue,none,no_issue,no,prompt_required,no,no,1,none,,False,True,no_issue,no,False,True,False,no_issue,no,False,True,False,no_issue,no,False,True,False
F1_V,F1,image/F1.png,A6,Spatial / Impossible Geometry,violating,impossible room geometry,prompt_violating,yes,prompt_violating,yes,yes,2,none,,True,True,prompt_violating,yes,True,True,True,prompt_violating,yes,True,True,True,prompt_violating,yes,True,True,True
F1_P,F1,image/F1.png,A6,Spatial / Impossible Geometry,permitted,impossible room geometry,prompt_required,no,prompt_required,no,yes,2,none,,True,True,prompt_required,no,True,True,True,prompt_required,no,True,True,True,prompt_required,no,True,True,True
F1_A,F1,image/F1.png,A6,Spatial / Impossible Geometry,ambiguous,impossible room geometry,ambiguous,uncertain,prompt_required,no,yes,2,none,,False,False,prompt_permitted,no,False,True,False,prompt_required,no,True,True,True,prompt_required,no,True,True,True
F2_V,F2,image/F2.png,A6,Spatial / Impossible Geometry,violating,impossible room geometry,prompt_violating,yes,prompt_violating,yes,yes,1,none,,True,True,prompt_violating,yes,True,True,True,prompt_violating,yes,True,True,True,prompt_violating,yes,True,True,True
F2_P,F2,image/F2.png,A6,Spatial / Impossible Geometry,permitted,impossible room geometry,prompt_required,no,prompt_required,no,yes,1,none,,True,True,prompt_required,no,True,True,True,prompt_required,no,True,True,True,prompt_required,no,True,True,True
F2_A,F2,image/F2.png,A6,Spatial / Impossible Geometry,ambiguous,impossible room geometry,ambiguous,uncertain,prompt_required,no,yes,2,none,,False,False,prompt_permitted,no,False,True,False,prompt_permitted,no,False,True,False,prompt_permitted,no,False,True,False
F3_V,F3,image/F3.png,A6,Spatial / Impossible Geometry,violating,impossible room geometry,prompt_violating,yes,prompt_violating,yes,yes,2,none,,True,True,prompt_violating,yes,True,True,True,prompt_violating,yes,True,True,True,prompt_violating,yes,True,True,True
F3_P,F3,image/F3.png,A6,Spatial / Impossible Geometry,permitted,impossible room geometry,prompt_required,no,prompt_required,no,yes,3,none,,True,True,prompt_required,no,True,True,True,prompt_required,no,True,True,True,prompt_required,no,True,True,True
F3_A,F3,image/F3.png,A6,Spatial / Impossible Geometry,ambiguous,impossible room geometry,ambiguous,uncertain,prompt_required,no,yes,3,none,,False,False,prompt_permitted,no,False,True,False,prompt_permitted,no,False,True,False,prompt_permitted,no,False,True,False
F4_V,F4,image/F4.png,A6,Spatial / Impossible Geometry,violating,impossible room geometry,prompt_violating,yes,prompt_violating,yes,yes,3,none,,True,True,prompt_violating,yes,True,True,True,prompt_violating,yes,True,True,True,prompt_violating,yes,True,True,True
F4_P,F4,image/F4.png,A6,Spatial / Impossible Geometry,permitted,impossible room geometry,prompt_required,no,prompt_required,no,yes,3,none,,True,True,prompt_required,no,True,True,True,prompt_required,no,True,True,True,prompt_required,no,True,True,True
F4_A,F4,image/F4.png,A6,Spatial / Impossible Geometry,ambiguous,impossible room geometry,ambiguous,uncertain,prompt_required,no,yes,3,none,,False,False,prompt_permitted,no,False,True,False,prompt_required,no,True,True,True,prompt_permitted,no,False,True,False
F5_V,F5,image/F5.png,A6,Spatial / Impossible Geometry,violating,impossible room geometry,prompt_violating,yes,prompt_violating,yes,yes,3,none,,True,True,prompt_violating,yes,True,True,True,prompt_violating,yes,True,True,True,prompt_violating,yes,True,True,True
F5_P,F5,image/F5.png,A6,Spatial / Impossible Geometry,permitted,impossible room geometry,prompt_required,no,prompt_required,no,yes,3,none,,True,True,prompt_required,no,True,True,True,prompt_required,no,True,True,True,prompt_required,no,True,True,True
F5_A,F5,image/F5.png,A6,Spatial / Impossible Geometry,ambiguous,impossible room geometry,ambiguous,uncertain,prompt_required,no,yes,3,none,,False,False,prompt_permitted,no,False,True,False,prompt_required,no,True,True,True,prompt_permitted,no,False,True,False
F6,F6,image/F6.png,A6,Spatial / Impossible Geometry,no_issue,none,no_issue,no,prompt_required,no,no,3,none,,False,True,no_issue,no,False,True,False,no_issue,no,False,True,False,no_issue,no,False,True,False
F7,F7,image/F7.png,A6,Spatial / Impossible Geometry,no_issue,none,no_issue,no,prompt_required,no,no,1,none,,False,True,no_issue,no,False,True,False,no_issue,no,False,True,False,no_issue,no,False,True,False
F8,F8,image/F8.png,A6,Spatial / Impossible Geometry,no_issue,none,no_issue,no,prompt_required,no,no,1,none,,False,True,no_issue,no,False,True,False,no_issue,no,False,True,False,no_issue,no,False,True,False
G1_V,G1,image/G1.png,A7,Scale / Proportion,violating,giant teacup and tiny people,prompt_violating,yes,prompt_violating,yes,yes,2,none,,True,True,prompt_violating,yes,True,True,True,prompt_violating,yes,True,True,True,prompt_violating,yes,True,True,True
G1_P,G1,image/G1.png,A7,Scale / Proportion,permitted,giant teacup and tiny people,prompt_required,no,prompt_required,no,yes,2,none,,True,True,prompt_required,no,True,True,True,prompt_required,no,True,True,True,prompt_required,no,True,True,True
G1_A,G1,image/G1.png,A7,Scale / Proportion,ambiguous,giant teacup and tiny people,ambiguous,uncertain,prompt_required,no,yes,2,none,,False,False,prompt_permitted,no,False,True,False,prompt_required,no,True,True,True,prompt_permitted,no,False,True,False
G2_V,G2,image/G2.png,A7,Scale / Proportion,violating,giant teacup and tiny people,prompt_violating,yes,prompt_violating,yes,yes,3,none,,True,True,prompt_violating,yes,True,True,True,prompt_violating,yes,True,True,True,prompt_violating,yes,True,True,True
G2_P,G2,image/G2.png,A7,Scale / Proportion,permitted,giant teacup and tiny people,prompt_required,no,prompt_required,no,yes,3,none,,True,True,prompt_required,no,True,True,True,prompt_required,no,True,True,True,prompt_required,no,True,True,True
