adjudication_item_id 仲裁编号,image_path 图像路径,prompt 评估提示词,target_anomaly 目标异常,target_anomaly_description 目标异常说明,final_anomaly_visible 最终异常是否可见,final_permission 最终权限标签,final_confidence_1_3 最终信心1-3,final_issue_tag 最终问题标签,final_rationale 最终理由
ADJ021,image/E1.png,A stylized tabletop scene with repeated cup-like shapes and visual rhythm.,duplicated cups / excessive repetition,Axis: A5 / Count / Repetition; target anomaly: duplicated cups / excessive repetition; image: E1,,,,,
ADJ022,image/E2.png,A stylized tabletop scene with repeated cup-like shapes and visual rhythm.,duplicated cups / excessive repetition,Axis: A5 / Count / Repetition; target anomaly: duplicated cups / excessive repetition; image: E2,,,,,
ADJ023,image/E3.png,A stylized tabletop scene with repeated cup-like shapes and visual rhythm.,duplicated cups / excessive repetition,Axis: A5 / Count / Repetition; target anomaly: duplicated cups / excessive repetition; image: E3,,,,,
ADJ024,image/E4.png,A stylized tabletop scene with repeated cup-like shapes and visual rhythm.,duplicated cups / excessive repetition,Axis: A5 / Count / Repetition; target anomaly: duplicated cups / excessive repetition; image: E4,,,,,
ADJ025,image/E5.png,A stylized tabletop scene with repeated cup-like shapes and visual rhythm.,duplicated cups / excessive repetition,Axis: A5 / Count / Repetition; target anomaly: duplicated cups / excessive repetition; image: E5,,,,,
ADJ026,image/F1.png,A strange interior scene with an unusual spatial composition.,impossible room geometry,Axis: A6 / Spatial / Impossible Geometry; target anomaly: impossible room geometry; image: F1,,,,,
ADJ027,image/F2.png,A strange interior scene with an unusual spatial composition.,impossible room geometry,Axis: A6 / Spatial / Impossible Geometry; target anomaly: impossible room geometry; image: F2,,,,,
ADJ028,image/F3.png,A strange interior scene with an unusual spatial composition.,impossible room geometry,Axis: A6 / Spatial / Impossible Geometry; target anomaly: impossible room geometry; image: F3,,,,,
ADJ029,image/F4.png,A strange interior scene with an unusual spatial composition.,impossible room geometry,Axis: A6 / Spatial / Impossible Geometry; target anomaly: impossible room geometry; image: F4,,,,,
ADJ030,image/F5.png,A strange interior scene with an unusual spatial composition.,impossible room geometry,Axis: A6 / Spatial / Impossible Geometry; target anomaly: impossible room geometry; image: F5,,,,,
ADJ031,image/G1.png,A whimsical street scene with unusual scale relationships between people and everyday objects.,giant teacup and tiny people,Axis: A7 / Scale / Proportion; target anomaly: giant teacup and tiny people; image: G1,,,,,
ADJ032,image/G2.png,A whimsical street scene with unusual scale relationships between people and everyday objects.,giant teacup and tiny people,Axis: A7 / Scale / Proportion; target anomaly: giant teacup and tiny people; image: G2,,,,,
ADJ033,image/G3.png,A whimsical street scene with unusual scale relationships between people and everyday objects.,giant teacup and tiny people,Axis: A7 / Scale / Proportion; target anomaly: giant teacup and tiny people; image: G3,,,,,
ADJ034,image/G4.png,A whimsical street scene with unusual scale relationships between people and everyday objects.,giant teacup and tiny people,Axis: A7 / Scale / Proportion; target anomaly: giant teacup and tiny people; image: G4,,,,,
ADJ035,image/G5.png,A whimsical street scene with unusual scale relationships between people and everyday objects.,giant teacup and tiny people,Axis: A7 / Scale / Proportion; target anomaly: giant teacup and tiny people; image: G5,,,,,
ADJ036,image/H1.png,An artistic scene about time and memory with deformed clock-like objects in a dreamlike setting.,soft melting clocks / deformed clocks,Axis: A8 / Artistic Deformation; target anomaly: soft melting clocks / deformed clocks; image: H1,,,,,
ADJ037,image/H2.png,An artistic scene about time and memory with deformed clock-like objects in a dreamlike setting.,soft melting clocks / deformed clocks,Axis: A8 / Artistic Deformation; target anomaly: soft melting clocks / deformed clocks; image: H2,,,,,
ADJ038,image/H3.png,An artistic scene about time and memory with deformed clock-like objects in a dreamlike setting.,soft melting clocks / deformed clocks,Axis: A8 / Artistic Deformation; target anomaly: soft melting clocks / deformed clocks; image: H3,,,,,
ADJ039,image/H4.png,An artistic scene about time and memory with deformed clock-like objects in a dreamlike setting.,soft melting clocks / deformed clocks,Axis: A8 / Artistic Deformation; target anomaly: soft melting clocks / deformed clocks; image: H4,,,,,
ADJ040,image/H5.png,An artistic scene about time and memory with deformed clock-like objects in a dreamlike setting.,soft melting clocks / deformed clocks,Axis: A8 / Artistic Deformation; target anomaly: soft melting clocks / deformed clocks; image: H5,,,,,
ADJ041,image/A6.png,No-issue control for Anatomy / Hands. The image should not contain the target anomaly.,none,Axis: A1 / Anatomy / Hands; target anomaly: none; image: A6,,,,,
ADJ042,image/A7.png,No-issue control for Anatomy / Hands. The image should not contain the target anomaly.,none,Axis: A1 / Anatomy / Hands; target anomaly: none; image: A7,,,,,
ADJ043,image/A8.png,No-issue control for Anatomy / Hands. The image should not contain the target anomaly.,none,Axis: A1 / Anatomy / Hands; target anomaly: none; image: A8,,,,,
ADJ044,image/B6.png,No-issue control for Text. The image should not contain the target anomaly.,none,Axis: A2 / Text; target anomaly: none; image: B6,,,,,
ADJ045,image/B7.png,No-issue control for Text. The image should not contain the target anomaly.,none,Axis: A2 / Text; target anomaly: none; image: B7,,,,,
ADJ046,image/B8.png,No-issue control for Text. The image should not contain the target anomaly.,none,Axis: A2 / Text; target anomaly: none; image: B8,,,,,
ADJ047,image/C6.png,No-issue control for Physics. The image should not contain the target anomaly.,none,Axis: A3 / Physics; target anomaly: none; image: C6,,,,,
ADJ048,image/C7.png,No-issue control for Physics. The image should not contain the target anomaly.,none,Axis: A3 / Physics; target anomaly: none; image: C7,,,,,
ADJ049,image/C8.png,No-issue control for Physics. The image should not contain the target anomaly.,none,Axis: A3 / Physics; target anomaly: none; image: C8,,,,,
ADJ050,image/D6.png,No-issue control for Object Fusion. The image should not contain the target anomaly.,none,Axis: A4 / Object Fusion; target anomaly: none; image: D6,,,,,
ADJ051,image/D7.png,No-issue control for Object Fusion. The image should not contain the target anomaly.,none,Axis: A4 / Object Fusion; target anomaly: none; image: D7,,,,,
ADJ052,image/D8.png,No-issue control for Object Fusion. The image should not contain the target anomaly.,none,Axis: A4 / Object Fusion; target anomaly: none; image: D8,,,,,
ADJ053,image/E6.png,No-issue control for Count / Repetition. The image should not contain the target anomaly.,none,Axis: A5 / Count / Repetition; target anomaly: none; image: E6,,,,,
ADJ054,image/E7.png,No-issue control for Count / Repetition. The image should not contain the target anomaly.,none,Axis: A5 / Count / Repetition; target anomaly: none; image: E7,,,,,
ADJ055,image/E8.png,No-issue control for Count / Repetition. The image should not contain the target anomaly.,none,Axis: A5 / Count / Repetition; target anomaly: none; image: E8,,,,,
ADJ056,image/F6.png,No-issue control for Spatial / Impossible Geometry. The image should not contain the target anomaly.,none,Axis: A6 / Spatial / Impossible Geometry; target anomaly: none; image: F6,,,,,
ADJ057,image/F7.png,No-issue control for Spatial / Impossible Geometry. The image should not contain the target anomaly.,none,Axis: A6 / Spatial / Impossible Geometry; target anomaly: none; image: F7,,,,,
ADJ058,image/F8.png,No-issue control for Spatial / Impossible Geometry. The image should not contain the target anomaly.,none,Axis: A6 / Spatial / Impossible Geometry; target anomaly: none; image: F8,,,,,
ADJ059,image/G6.png,No-issue control for Scale / Proportion. The image should not contain the target anomaly.,none,Axis: A7 / Scale / Proportion; target anomaly: none; image: G6,,,,,
ADJ060,image/G7.png,No-issue control for Scale / Proportion. The image should not contain the target anomaly.,none,Axis: A7 / Scale / Proportion; target anomaly: none; image: G7,,,,,
ADJ061,image/G8.png,No-issue control for Scale / Proportion. The image should not contain the target anomaly.,none,Axis: A7 / Scale / Proportion; target anomaly: none; image: G8,,,,,
ADJ062,image/H6.png,No-issue control for Artistic Deformation. The image should not contain the target anomaly.,none,Axis: A8 / Artistic Deformation; target anomaly: none; image: H6,,,,,
ADJ063,image/H7.png,No-issue control for Artistic Deformation. The image should not contain the target anomaly.,none,Axis: A8 / Artistic Deformation; target anomaly: none; image: H7,,,,,
ADJ064,image/H8.png,No-issue control for Artistic Deformation. The image should not contain the target anomaly.,none,Axis: A8 / Artistic Deformation; target anomaly: none; image: H8,,,,,
ADJ065,image/C3.png,"A dream world with reversed gravity, where water flows upward and physical laws are intentionally inverted.",upward-flowing water or reversed gravity,Axis: A3 / Physics; target anomaly: upward-flowing water or reversed gravity; image: C3,,,,,
ADJ066,image/C3.png,"A realistic landscape with normal gravity and physically plausible water movement. Rivers, rain, and waterfalls should move naturally downward.",upward-flowing water or reversed gravity,Axis: A3 / Physics; target anomaly: upward-flowing water or reversed gravity; image: C3,,,,,
ADJ067,image/A1.png,A surreal portrait of an alien-human performer with six elegant fingers on each hand. The unusual hands are an intentional part of the character design.,six fingers / extra fingers,Axis: A1 / Anatomy / Hands; target anomaly: six fingers / extra fingers; image: A1,,,,,
ADJ068,image/A4.png,A surreal portrait of an alien-human performer with six elegant fingers on each hand. The unusual hands are an intentional part of the character design.,six fingers / extra fingers,Axis: A1 / Anatomy / Hands; target anomaly: six fingers / extra fingers; image: A4,,,,,
ADJ069,image/D5.png,A surreal human-chair hybrid sculpture in which the human body and chair intentionally merge into a single artistic form.,human-chair fusion,Axis: A4 / Object Fusion; target anomaly: human-chair fusion; image: D5,,,,,
ADJ070,image/A1.png,A realistic studio portrait of a human performer with natural anatomy. Both hands should be visible and each hand should have exactly five fingers.,six fingers / extra fingers,Axis: A1 / Anatomy / Hands; target anomaly: six fingers / extra fingers; image: A1,,,,,
ADJ071,image/A3.png,A realistic studio portrait of a human performer with natural anatomy. Both hands should be visible and each hand should have exactly five fingers.,six fingers / extra fingers,Axis: A1 / Anatomy / Hands; target anomaly: six fingers / extra fingers; image: A3,,,,,
ADJ072,image/A5.png,A realistic studio portrait of a human performer with natural anatomy. Both hands should be visible and each hand should have exactly five fingers.,six fingers / extra fingers,Axis: A1 / Anatomy / Hands; target anomaly: six fingers / extra fingers; image: A5,,,,,
ADJ073,image/B1.png,"A clean professional advertisement poster with large readable text. The text should be clear, correctly formed, and easy to read.",illegible or distorted text,Axis: A2 / Text; target anomaly: illegible or distorted text; image: B1,,,,,
ADJ074,image/B2.png,"A clean professional advertisement poster with large readable text. The text should be clear, correctly formed, and easy to read.",illegible or distorted text,Axis: A2 / Text; target anomaly: illegible or distorted text; image: B2,,,,,
ADJ075,image/B3.png,"A clean professional advertisement poster with large readable text. The text should be clear, correctly formed, and easy to read.",illegible or distorted text,Axis: A2 / Text; target anomaly: illegible or distorted text; image: B3,,,,,
ADJ076,image/B4.png,"A clean professional advertisement poster with large readable text. The text should be clear, correctly formed, and easy to read.",illegible or distorted text,Axis: A2 / Text; target anomaly: illegible or distorted text; image: B4,,,,,
ADJ077,image/B5.png,"A clean professional advertisement poster with large readable text. The text should be clear, correctly formed, and easy to read.",illegible or distorted text,Axis: A2 / Text; target anomaly: illegible or distorted text; image: B5,,,,,
ADJ078,image/D4.png,"A realistic office or interior scene where a person and a chair are clearly separate objects, with normal body posture and normal furniture structure.",human-chair fusion,Axis: A4 / Object Fusion; target anomaly: human-chair fusion; image: D4,,,,,
ADJ079,image/D5.png,"A realistic office or interior scene where a person and a chair are clearly separate objects, with normal body posture and normal furniture structure.",human-chair fusion,Axis: A4 / Object Fusion; target anomaly: human-chair fusion; image: D5,,,,,
