task_order,task_id,image_sha256,axis_code,intended_role,expected_observed_target_state,source_lineage,source_batch
28,V-BF2D3CEC41E7D93E,12136A5A4618DFD0A56613B2AC2852944AA1EE257899FCA06248469F691D6DE4,A7,anomaly_present,target_present,expansion,image_gen_v2
29,V-551E2279D26B79B8,197F604CD325953329A94C8EC2EEDD861FAECCD8B9704EAC285C0249E30DA47F,A2,anomaly_present,target_present,expansion,synthetic_generation_v1
30,V-EEDA9E21B3E378D5,9980468039E40C9AF5E64E205F4F2B80CF8D35B69C856176D76F29BDE042BCB0,A5,target_absent_control,target_absent,expansion,image_gen_v2
31,V-7A7AF4508AD6C752,D6ACB16C3985796148F36D66C645F82B5DC0C1A64124BF00C488CA2F91E6086B,A8,anomaly_present,target_present,pilot,legacy_prcv_64
32,V-5DADAD83B58B7218,0BA08B3E4FC1CF0C67D0CCA8E8942C850C73B4B2E31D935BDC0EDCABD763C350,A1,target_absent_control,target_absent,pilot,legacy_prcv_64
33,V-762A55138A120E04,BCF680B9C16799070F9612B5830AB4D06EB0916C73A3800835BAFDF6096B5679,A8,target_absent_control,target_absent,expansion,synthetic_batch_1_16
34,V-17AD7A994DDD9B69,64856165F230FDA5C21E60C1599E54862D3E706725A76466BFFAF4F87096FD1D,A4,anomaly_present,target_present,expansion,synthetic_generation_v1
35,V-26B979C963690A65,965E726A61F0E63C4E36D5F6710B86CDC20E4022FBDB40CE1C3621725BCF0D71,A5,target_absent_control,target_absent,pilot,legacy_prcv_64
36,V-0038BFEEBE3ECA81,B68582063F3AE3E7C99EDFF2B710E16CD5D7949A53226C70A8139EA519627336,A1,target_absent_control,target_absent,expansion,synthetic_generation_v1
37,V-EFCCE68E1F0019E3,CD0956E75B9AFDFCED83A9E00CAA75033921BC74B819DCA58AD2C8E78164CC03,A1,target_absent_control,target_absent,expansion,synthetic_generation_v1
38,V-CC223FF19597683D,AC79B47E3094EA8DFC631D5AD5B7DD378C3DCA400FDF139257CDFFA22AD21BDB,A2,anomaly_present,target_present,pilot,legacy_prcv_64
39,V-FFD0F1F354A3125E,56BC454757CA71D882EE1300134ED11A1972A2112523563819E57A63AC471690,A7,anomaly_present,target_present,expansion,image_gen_v2
40,V-45768DDCA2BA40D7,5D193A6F158EC5D9552C563DC7590201FB2FDDCB7F78019371A45C2C1CD54A46,A6,anomaly_present,target_present,pilot,legacy_prcv_64
41,V-FEC2C3697A45DD17,F29F42324D25B20CFBB1F3BEB57EA7CB449869A21FAD1E59C697BD77E80A37B5,A8,target_absent_control,target_absent,pilot,legacy_prcv_64
42,V-563FFFDDB3FFB84D,8AD11A0415FCD36F7F3028333920BA3C41FF35FAD276DBF1F420F4CFBABC94B0,A1,anomaly_present,target_present,pilot,legacy_prcv_64
43,V-1521014E9D64ED34,F17654565C02A1798BE5D678787B94011F81054A1E96A13898560F410D7ACE8D,A7,target_absent_control,target_absent,pilot,legacy_prcv_64
44,V-453AE6279176706F,6BFF0AC3113BF95ED9A2F64C6B624D5592F08915559937AB6AAC9CECABBC183E,A3,anomaly_present,target_present,expansion,image_gen_v2
45,V-8A2FF229F561825C,311846BCD67CB6BA71D6AFA24EB78F441C7117F6512B0BCF4FAA1B58615927A7,A7,target_absent_control,target_absent,expansion,synthetic_batch_1_16
46,V-119ABC9FA3170733,5E9C6B044DD68074444791ADCA608CD2BEAA9E3D8B0934A6246C754F13FEF1F8,A6,anomaly_present,target_present,expansion,image_gen_v2
47,V-74DDBE411798416B,966C082589E10C383012E97F709453FCA24E9AF3B6A840BD60E523B36333A0CB,A8,anomaly_present,target_present,pilot,legacy_prcv_64
48,V-92EF590BFE3225E3,C6C8457674EA1B1152E9337E3C1C80452B71718D3F79D374F19DFFA7D088C78F,A6,anomaly_present,target_present,expansion,image_gen_v2
49,V-93E0A0ADCE147AB4,1130DCCFD9AF7ECB49318CC1832CE6BF3364FD775CA047D2C34317FED68359B4,A8,anomaly_present,target_present,pilot,legacy_prcv_64
50,V-7A278CC7FAC4223D,E80BCDB6548526B764566AEBDC6E16B3065B32E17916D7B72A95AB03F02CBC87,A1,anomaly_present,target_present,pilot,legacy_prcv_64
51,V-A0E516445175C119,44FFFC0D30AA643168D76DC5279856B05D91731389E20FE453E76C1D3844C93D,A7,anomaly_present,target_present,pilot,legacy_prcv_64
52,V-11BF291B23CFDC82,43E41D861CE87216D8B0C608D6B0E20DECCB04F67C338A54591B3154031DEFDE,A7,target_absent_control,target_absent,pilot,legacy_prcv_64
53,V-39EB4D609E759771,16A86CA1B85306F32E67AD11CFE8CF9183EEECC2020DE28B115C96766D46108F,A4,anomaly_present,target_present,expansion,synthetic_generation_v1
54,V-45CDA21D7944A7F8,7064AB4F9549F3830FF0F956530539D1337D60FC033215639D7233BF65F9995B,A6,target_absent_control,target_absent,pilot,legacy_prcv_64
55,V-A9E502DB9E44CB7E,CCE6E52A6A37A5A0984BA05BAF796A9BA5C16CF0697227B3948F813C295EF46E,A2,anomaly_present,target_present,pilot,legacy_prcv_64
56,V-A2CCC9CD20F546FC,A9D415573DD237DDE46A8C9F3220D1A47507AFEB402B63BA29EEFABFAED41656,A5,target_absent_control,target_absent,pilot,legacy_prcv_64
57,V-95F7B244DA1CC0BD,95E741E0CA8C4065C5F953155FD39754D164321D3785FD5A22127CFEFED3D592,A4,anomaly_present,target_present,expansion,synthetic_generation_v1
58,V-64A3CBD6F92C9971,2D68454CE29385D22B2609B361C24082F8F5ADE4B4048834D87618FBF3EC5859,A1,target_absent_control,target_absent,expansion,synthetic_generation_v1
59,V-010F1988229D3FB6,28792560EB14F1A3E21B63312A8A649048F1988CDAF35F651AE54886528D889F,A5,target_absent_control,target_absent,expansion,image_gen_v2
60,V-94D5AA163C49F65B,0D792196347FC2DAEE13F15A39FB4E693343538C9FEE700B74D40D17E304EBDA,A3,anomaly_present,target_present,pilot,legacy_prcv_64
61,V-19F0C6E4D4B9D391,8FEB6F12EC7F85B595123DA586463DA504A93657458811818568A578B5C122DB,A7,anomaly_present,target_present,expansion,image_gen_v2
62,V-13D9328D56846947,CEF15E310DE459C5842E2AC803B7405733F74BB04AEE83B9C183DC612863B276,A5,anomaly_present,target_present,expansion,synthetic_batch_1_16
63,V-AD27C4ADC550DEBC,05238630941B23A0BA8156E90715BE7E6C4896E0BFEEA82BE5DEA7AB61A786DF,A3,target_absent_control,target_absent,expansion,synthetic_generation_v1
64,V-BC883D12B29F8432,8BA768B2DCDAFEA59E4267D4A1A0B52C8999B8AD3FEDF3CBA55F459A7251BEE5,A3,target_absent_control,target_absent,pilot,legacy_prcv_64
65,V-9616B9EE15EFC8D5,6D303652B11CF32C81A6241FD11B2A594293F6B3F7BAC90EFF077CF0482506FC,A1,target_absent_control,target_absent,expansion,synthetic_generation_v1
66,V-8EA0EFF950B10992,0F4A9E8E49E19E2FAACBE27E7DD31472D398B078B51214B8AA30B0BC21CE6D29,A4,target_absent_control,target_absent,expansion,synthetic_generation_v1
67,V-190D1D8784343E8F,263C04950CB16D365017DC7074C3BD79E0FD96F0F085D0E963156A8D8F6C22A6,A3,anomaly_present,target_present,expansion,synthetic_batch_1_16
68,V-7B37CE58737719D8,7E7A95040ED8A59BF3C71F7617C27106A779AF7F4868412CBF9D26CA8E92E041,A5,anomaly_present,target_present,expansion,image_gen_v2
69,V-D720E0952597D98C,306D384DD6AE8270581A82ADE76A4D84DC68CF54B009B5615579B55F01804B2A,A8,anomaly_present,target_present,expansion,image_gen_v2
70,V-B013BD417387B2E5,D5A73502431A8F5032C6A15CF3005C687D821032B6E128FACEF96034431731B7,A4,target_absent_control,target_absent,expansion,synthetic_generation_v1
71,V-840236F3C394B679,EE423AFF7DB3822AC6B467514BE7A48B2C11AD089DAD36051D4E81BE5F9F0469,A4,target_absent_control,target_absent,expansion,synthetic_generation_v1
72,V-E35372FCE6C6022D,67FC6786E3DFEA1A4A919F0901201EF6A1D45BFA6B33700694798A971E4BB18E,A8,target_absent_control,target_absent,expansion,image_gen_v2
73,V-2D07366FE73F20DD,FB4DE7BC90BD7250E6DAFCD10B0E47EF16151E207883C255C7CE80F8B23B896F,A8,target_absent_control,target_absent,expansion,image_gen_v2
74,V-692020F0515621DC,74A535E6FCCFBE0CA01C1773B05D09A9C63B92F9B71062862B2E1E488014892D,A2,anomaly_present,target_present,pilot,legacy_prcv_64
75,V-BE4A3847306F802D,FAA3E33B189CADF10113D7369D68D729589BA7EDFB19E70844CCF71D04108C63,A2,target_absent_control,target_absent,expansion,synthetic_generation_v1
76,V-0E2938A74D5026DB,284A89538967BE360D9CFE50C9670454014F236579E7242AF7893EE074840285,A1,target_absent_control,target_absent,pilot,legacy_prcv_64
77,V-5F4FEF763910DD06,479530822FE9335EE5BCE2E0C9F6BAC8662BD86EE060484EB1021FC1C03CA4DE,A6,target_absent_control,target_absent,expansion,synthetic_batch_1_16
78,V-8EDA247A9A4F9744,24E4D4F20DE12B40EABA0DE4E05A1CC109EF9473FD7903199C4A4E50B2C19D53,A6,anomaly_present,target_present,expansion,synthetic_batch_1_16
79,V-3DA560863310A3B7,07CD44500A928E1F4DA79FF03EFD26D4E4D04E6AC5E751CABB67FD591728A012,A1,target_absent_control,target_absent,expansion,synthetic_generation_v1
80,V-1CE2F3FD467927FA,3143D23EFE5BFD1D56030F0AB7AE6DD4E45432829D0554D5D5B218FAFAFC3D68,A8,target_absent_control,target_absent,pilot,legacy_prcv_64
81,V-D85E3E84D5BC914B,AA9AF7F17D3C26A0CED0E41FAB318D4090787945ADF99FD4CA60938F02E8C8EA,A1,anomaly_present,target_present,expansion,synthetic_generation_v1
82,V-B8C20C431DF52222,D95990F459DA611D2BDFB63DF7B699CCEBCC95B2E1A49C931CEE44469CE53C47,A6,target_absent_control,target_absent,expansion,image_gen_v2
83,V-1C371F3FDA42B8B2,3CF3E568C7D86A273DD5792F1BF3CDE886AFEA435BD27AE876E283B3802E5CA9,A1,anomaly_present,target_present,expansion,synthetic_generation_v1
84,V-502E4A7A22275138,C30985BF178C55CD617D861A9C61DF387D065191476666A9438093A6DD8B4CEF,A3,anomaly_present,target_present,pilot,legacy_prcv_64
85,V-AD31CB964840437E,BBB38F3593F59063A794B353888881914209974A982AE08E5D21F905E37D67AC,A5,anomaly_present,target_present,pilot,legacy_prcv_64
86,V-21A893DBCF6DADBE,F07D04D4BFEC6B6393CDCDE39ED2950EECDEC105987B722A95C6C6B9DC2BF165,A1,anomaly_present,target_present,expansion,synthetic_generation_v1
87,V-FDC9492877FB7E2C,240BB03253F452396485E24A79CB1800B035B9C46ADA6E803DD52DAF6A107E8E,A2,anomaly_present,target_present,pilot,legacy_prcv_64
88,V-CED9CF9E4BA3167B,8A9AFB1D1C572939AB89844ADFBBA66C48C91D91988CA172EBEF8B7B541EB99B,A3,target_absent_control,target_absent,expansion,synthetic_generation_v1
89,V-9F86E957B8A834C7,060E946011A4B530AFEFCE301C0F5996DA26FF25AF79FEC51F40EFDB9E168A44,A8,anomaly_present,target_present,expansion,image_gen_v2
90,V-1F1A02F127C1DC3A,FDAE678F94B8DE9620B8E017AE71C8E85E2A28CE95E11B36DFBED098CD8445B2,A3,target_absent_control,target_absent,pilot,legacy_prcv_64
91,V-745F4EA531663FB2,14233B05E635EE8A8C0249BFD06E6928625DB1243556EC15711C0F64AE00C8E9,A2,target_absent_control,target_absent,expansion,synthetic_generation_v1
92,V-9F4781F426924416,10263EA96CC291633AE09F1611DC7F74F738B30367676805B24CBB0A87AB5F63,A6,target_absent_control,target_absent,expansion,image_gen_v2
93,V-63CC393D0D6D2408,8C37CBAEC1C17EC3AE20AE073DBFF15DFB16A821750F5029935276F80A7B879C,A4,anomaly_present,target_present,pilot,legacy_prcv_64
94,V-E9B39E4B144E961A,C46AEFD3DB4CDE43A193A21880893B7DB1D460CC0AFDD57261A919B9C78EF963,A3,anomaly_present,target_present,pilot,legacy_prcv_64
95,V-15E197B46C2ECD37,58C341791818CB470F04F6FF053D7FC9D05420685B3EE1C1F81876E22DE4E48A,A8,target_absent_control,target_absent,expansion,image_gen_v2
96,V-96AB33F92E6539C2,71302E984228C5DA0DE9278E76D62D497DAABA9044F35A9BB9D0A1D000DDBE7A,A1,target_absent_control,target_absent,expansion,synthetic_batch_1_16
97,V-75063FD23128DFBE,065D1425963847FA2220544A67C7DBA385D38E6958A326115A839FB86B64FAAC,A5,anomaly_present,target_present,expansion,image_gen_v2
98,V-B108F3F78A0531E5,562DDD6748226FE562934F60F110EE475D5A334A01D5236965D318E44CE9F0D6,A1,target_absent_control,target_absent,pilot,legacy_prcv_64
99,V-4CA5EF9F343AA099,74F9C4E914748498B168D4FA01E7801E716B53994905FD4AC60E16EDE5997EAE,A2,anomaly_present,target_present,expansion,synthetic_generation_v1
100,V-EC4153FFC4F7E07C,9D5378B95CE14EDE9214C3327D064B9F5C352815F63A99A5FE1177F16CC8E18C,A5,target_absent_control,target_absent,expansion,image_gen_v2
101,V-1ED7FD6842AEA537,6606C06F6424729C0BD884DCA06FF17E70818E5C34DB811B23231ABAF6D23CBE,A3,target_absent_control,target_absent,expansion,synthetic_generation_v1
102,V-935ED0BD07AC23F3,440696AFC5E0FDE9A1AA4641B11E72DE03E9A4FDA6F82403A38F533D734DA225,A4,anomaly_present,target_present,pilot,legacy_prcv_64
103,V-0E961E0603ADFDD7,C78C7A800B2ADAD1A21992C4F3EDF9427FAA18ED09EA9812EF136D10552FCA48,A8,target_absent_control,target_absent,expansion,image_gen_v2
104,V-8326D447F1F427FB,C782983D8923D75F816212B97DD95B38AA38A7AA008F4515F1AC9225D5A02339,A8,anomaly_present,target_present,expansion,image_gen_v2
105,V-4DAE3552A0A2FBB1,91741CA6BE1DE31132AA52328773FC39211BFA5BE2350D797EC5ACC531377458,A3,anomaly_present,target_present,pilot,legacy_prcv_64
106,V-81E0E22B6E7E7871,B5FE29646D359634A60148A68D49D606CEA42F71A6BE18FAD490C7A6DA801E42,A7,target_absent_control,target_absent,expansion,image_gen_v2
107,V-6284E444828E66FC,D8E3A8BDC7DF826D73C6C58B1D6BE2D06E8214768C7C4086538771007C9A4EED,A8,anomaly_present,target_present,expansion,image_gen_v2
108,V-7B813B03676FCD0E,C19A2C5D19355B5FE0BE79324E499290E64E01B38251C8E1A8FD87B31DEB5B94,A3,anomaly_present,target_present,expansion,image_gen_v2
109,V-4C102EDF8CFDE2E3,D554D9A077FBCAD9DDDB94AD92EC21E1E79848473D2A897C16B98A8F308CD6A0,A5,target_absent_control,target_absent,expansion,image_gen_v2
110,V-9AD35EC9DAFBA3D2,AF4BF0D493514EEDFC77F92062942D8E5ED366BBDCA9DE96F806EE79284F76D4,A2,anomaly_present,target_present,expansion,synthetic_generation_v1
111,V-ACF40BF8AF89A848,679784D6473B9827B56F31C2831FDD1498751CB17EF42937FF74832C94792218,A6,anomaly_present,target_present,expansion,image_gen_v2
112,V-D58B58E9131AD0CD,F9861AFD33DA0D766E81F6001374193F61D0ED94F0D8E9CF074533534B2007EF,A7,target_absent_control,target_absent,expansion,image_gen_v2
113,V-252910D1619A3D10,F7A8CFD1CE0DF2B8B29E435ECAF3A480C062BBAE57C7D3E1AE01B55F0E1ADCA1,A8,target_absent_control,target_absent,expansion,image_gen_v2
114,V-71C930A64E247C72,E2A46E88A1B585FB1945B628EC8B9633C0902B1EFADB3EF9C5584152E7DE20AB,A3,target_absent_control,target_absent,expansion,synthetic_batch_1_16
115,V-7AE8161E1C0A8B98,4314325C635B962A3248C581120C295D10F85B2CE1612F2A09F78ACC68B895EC,A5,anomaly_present,target_present,expansion,image_gen_v2
116,V-475FB48541908B9C,C9582E5DF99B8EFD1206497C3ABA4305BE73A4FFBA60EB76AE59B3030714F34E,A7,target_absent_control,target_absent,expansion,image_gen_v2
117,V-DDB4AEE5D379C4B7,4238E77AB0814F59D208E7A4D6AE31A9B9496B905DC296AB0F89C90C88015ED3,A4,anomaly_present,target_present,expansion,synthetic_generation_v1
118,V-109B828AEB207BD2,86C62549BAA4728A250F6D1AC4FC628E320215A262060B2D6716C907EFFE5F86,A2,target_absent_control,target_absent,expansion,synthetic_batch_1_16
119,V-A429D122F0D52340,B9C1EB96E7D0BEC51926A29ABC27BC4C01D142678E9E6FB30B99BEA38E86C7AB,A5,anomaly_present,target_present,expansion,image_gen_v2
120,V-B4AACC171927870E,9DB67A861C8662E104C9430302ED4F999672A07AE3AA23E41EB33C00C4E1DD85,A4,anomaly_present,target_present,expansion,synthetic_generation_v1
121,V-3479721B2E0D9A35,D5A4373ACE151EC69E852EF644E499855BC2E8AC237657A82B8F16A1B41B3D8C,A6,anomaly_present,target_present,pilot,legacy_prcv_64
122,V-A38677E95239D478,F86E800BD8CC7F014B7281BD3E67E77382281D0A861686ACD3295BA5731BF317,A5,anomaly_present,target_present,expansion,image_gen_v2
123,V-FFB277591C76CA76,C26FAFF1E66C3FF644BA3C2EE54DDF16B13D4E7C68F50C36AC12FB08D0845276,A1,anomaly_present,target_present,expansion,synthetic_generation_v1
124,V-6BE83AB411770898,3F0CC81EA9A32F8AAC75049FCD3E14DC30D66C97318874382B1F133C25357CE5,A6,anomaly_present,target_present,expansion,image_gen_v2
125,V-399A5252E8FD36CE,186409E3C8F6D7E1BD39FEE61C59085FC10E782F1C496563BEC043A298493B91,A6,anomaly_present,target_present,expansion,image_gen_v2
126,V-333814584F9559A9,746FFF7AB58DA3CE1FC5346430FFA3D198FF26380BAD9925D9E9E9F75D8D627E,A1,anomaly_present,target_present,pilot,legacy_prcv_64
127,V-248A65F28BB06F89,23ABD20C7BE5F26414A28ADF3A190C2A9A49D7373B8284A14B668915C075A8B9,A3,anomaly_present,target_present,expansion,image_gen_v2
128,V-04B268B5CE1BFCFA,7809C4B727A52C15766D806A371A6C1CA1880BE5CB009F74B630A4C1811D4196,A8,anomaly_present,target_present,pilot,legacy_prcv_64
129,V-A844F1ECE5CC8F55,2365A37E898C1187DE0A61F0D04370421341F788A2FCB4AA348AFCE6F3BAA507,A8,anomaly_present,target_present,expansion,synthetic_batch_1_16
130,V-66D403BDE957D08C,FEFD6823086241E2AD04FEF44136D2131385BA2F7BE04B96E93296C5DA2158E4,A1,anomaly_present,target_present,expansion,synthetic_batch_1_16
131,V-9BC1B2B179FDFCC8,12862BE2621D81153386B9B5CF947892187D385E8D3F357A153472EDF061D8A6,A2,target_absent_control,target_absent,expansion,synthetic_generation_v1
132,V-F6A704A4EF849725,080FDF6BED8F06A227614885D6EC3816692EA4FEE6F2EAD4158268E1AACA4F5E,A7,anomaly_present,target_present,expansion,image_gen_v2
133,V-C70A012FF1902CB7,92B04B8D7D6E95C066E0EAD2094C501174018E484F1AB11553E969B8ABC2AD1A,A6,anomaly_present,target_present,expansion,image_gen_v2
134,V-B705594315265EBB,98015B3A985EFC824F8BE84A1B947938FCC16429EB7877DDE7827A4E13E5E6A6,A4,anomaly_present,target_present,expansion,synthetic_generation_v1
135,V-E8FAC65EAD7979EF,6B047DD8F186D951B4DD9E508EB7FA2C7FD2948A61478CBB1FF98383AF282513,A3,target_absent_control,target_absent,expansion,synthetic_generation_v1
136,V-F5EDC3CD6E73E732,1F1ACDC43BE970AE2EC08C2D748879A8DD1886F7F102BA5AB4FCC1D552235F30,A7,anomaly_present,target_present,pilot,legacy_prcv_64
137,V-8EA9E0F060FD9EA6,3D93BF507A1C3FD9BE7D51CB019BDF6D76924DF7CB508641F8CC9F8FEAAE544B,A7,target_absent_control,target_absent,pilot,legacy_prcv_64
138,V-5B33278716EEBF38,9B2CAA6600FBAB667524BADF686C1AECCA41AD906E1BC0346A7565ABBFF1827A,A8,anomaly_present,target_present,expansion,image_gen_v2
139,V-2D4C66AA6765C82F,6BFBF55A779247F796BEA997EB72A2135C72C7C78CB6924955A0FF521BFC7E2B,A2,target_absent_control,target_absent,pilot,legacy_prcv_64
140,V-7028F4C752D0CE04,5722AC2BBF2B84057BC24F1ED43E93478AEF787BE43C56610C11BC122AD3AC67,A5,anomaly_present,target_present,expansion,image_gen_v2
141,V-57A78C3A047C3E8B,6E13656963E3C94F26E776D9E7DE63ADFCE4D0E9E44587D3C87C74EC6CBABF1E,A3,anomaly_present,target_present,expansion,image_gen_v2
142,V-1401AFA2C4848437,04D1BB6151BF945358D1391C698E67CC73EBFFAA7E1249002A99C2A2F5ED5BE5,A3,target_absent_control,target_absent,expansion,synthetic_generation_v1
143,V-D5040FC5760E165B,52E0414AF1AEE75BE04987B39AF0A9168200C47D850B6F1D3A92A26E93D678AB,A6,target_absent_control,target_absent,pilot,legacy_prcv_64
144,V-E994CE0776B6D857,BD5AD4A1D50B6F43EAE50D274754C724A7715A08968ABD3EB4CB7B9FCCF13DEE,A4,anomaly_present,target_present,pilot,legacy_prcv_64
145,V-CAB724C41BC82A66,CD66EDAAEB388F458D3BAFD8F3472C8AC736E7E2136F6BB1CF7E3C9DBCE2BFCA,A6,anomaly_present,target_present,pilot,legacy_prcv_64
146,V-2B391EE2EAF4C218,7710E58F7C4E5A5FA291B9A1FB3671869A5CF4DDA767808818250BE8221AA5D2,A5,target_absent_control,target_absent,expansion,synthetic_batch_1_16
147,V-40841819F0358073,13E497287F56C41413943F8F76F5B1A104BADEE450DEF93C195140561C80E616,A8,anomaly_present,target_present,expansion,image_gen_v2
148,V-B9D200CD2EBD15CE,3CFE3E43524900E8F36F3DA7CF50EF705502D37EFC54C0D63E17C2344244B409,A2,anomaly_present,target_present,expansion,synthetic_generation_v1
149,V-3AA45917BED8CE8F,CA80D9C793990C711B7DD7A8F24A6154B74BFE090A897E82F2EBB3EE8B9F406C,A2,anomaly_present,target_present,expansion,synthetic_generation_v1
150,V-D843C1905ED25C5C,F5870F2CD5727C5341A463E7ECDBEA470696B1F7B44F5889C59084933D1B91AB,A4,target_absent_control,target_absent,pilot,legacy_prcv_64
151,V-45E1C53161A3509E,6F178F298710F6FF37192EB93F4157038D3B584DE391D709B963675E49FC8AB8,A4,anomaly_present,target_present,expansion,synthetic_generation_v1
152,V-42784E3C19167498,B46A93C135E80F39EDEB43B6460C41C834AB51B78C7B1FB4917502760A4D7167,A4,anomaly_present,target_present,expansion,synthetic_generation_v1
153,V-50CBFAAAE1D4942A,9DCAD3FBC300841D45DCB11A940EFBF93BDE19BE38CBE3012C8A3D850626772F,A6,target_absent_control,target_absent,pilot,legacy_prcv_64
154,V-A7190B3360D80FCA,D09ABF3DF8C2B83FE839E02A62FF334658927805BB06DC37D88116E524D56FBD,A2,target_absent_control,target_absent,expansion,synthetic_generation_v1
155,V-0760F906E3060D6F,94C44E216484180A46DA95284C750F6AC6BF77FE959508F63ED1AA9D116A3ACE,A4,target_absent_control,target_absent,expansion,synthetic_generation_v1
156,V-D047EF4042B9B9E5,755EE2F7729A4D18ACE5F7C3FB527DC448AC17A72335CDF325F107196A7A0898,A1,anomaly_present,target_present,pilot,legacy_prcv_64
