adjudication_item_id,sample_id,condition,metadata_gold_permission,rater_A_permission,rater_B_permission,rater_C_permission,rater_A_visibility,rater_B_visibility,rater_C_visibility,majority_permission,majority_is_safe,why_in_adjudication_packet,recommended_review_focus
ADJ048,C7,no_issue,no_issue,no_issue,prompt_required,prompt_required,no,no,yes,prompt_required,False,all_no_issue_controls_require_adjudication; anomaly_visibility_disagreement_may_affect_permission,"Check whether the target anomaly is absent/no visible issue. If so, use no_issue, not prompt_required."
ADJ049,C8,no_issue,no_issue,no_issue,prompt_required,prompt_required,no,no,yes,prompt_required,False,all_no_issue_controls_require_adjudication; anomaly_visibility_disagreement_may_affect_permission,"Check whether the target anomaly is absent/no visible issue. If so, use no_issue, not prompt_required."
ADJ050,D6,no_issue,no_issue,no_issue,ambiguous,prompt_required,no,no,yes,NO_MAJORITY,False,all_no_issue_controls_require_adjudication; anomaly_visibility_disagreement_may_affect_permission,"Check whether the target anomaly is absent/no visible issue. If so, use no_issue, not prompt_required."
ADJ051,D7,no_issue,no_issue,no_issue,ambiguous,prompt_required,yes,unclear,yes,NO_MAJORITY,False,all_no_issue_controls_require_adjudication; anomaly_visibility_disagreement_may_affect_permission,"Check whether the target anomaly is absent/no visible issue. If so, use no_issue, not prompt_required."
ADJ052,D8,no_issue,no_issue,no_issue,no_issue,prompt_required,no,unclear,yes,no_issue,False,all_no_issue_controls_require_adjudication; anomaly_visibility_disagreement_may_affect_permission,"Check whether the target anomaly is absent/no visible issue. If so, use no_issue, not prompt_required."
ADJ053,E6,no_issue,no_issue,no_issue,prompt_required,prompt_required,no,no,yes,prompt_required,False,all_no_issue_controls_require_adjudication; anomaly_visibility_disagreement_may_affect_permission,"Check whether the target anomaly is absent/no visible issue. If so, use no_issue, not prompt_required."
ADJ054,E7,no_issue,no_issue,no_issue,prompt_required,prompt_required,no,no,yes,prompt_required,False,all_no_issue_controls_require_adjudication; anomaly_visibility_disagreement_may_affect_permission,"Check whether the target anomaly is absent/no visible issue. If so, use no_issue, not prompt_required."
ADJ055,E8,no_issue,no_issue,no_issue,prompt_required,prompt_required,no,no,yes,prompt_required,False,all_no_issue_controls_require_adjudication; anomaly_visibility_disagreement_may_affect_permission,"Check whether the target anomaly is absent/no visible issue. If so, use no_issue, not prompt_required."
ADJ056,F6,no_issue,no_issue,no_issue,prompt_required,prompt_required,no,no,yes,prompt_required,False,all_no_issue_controls_require_adjudication; anomaly_visibility_disagreement_may_affect_permission,"Check whether the target anomaly is absent/no visible issue. If so, use no_issue, not prompt_required."
ADJ057,F7,no_issue,no_issue,no_issue,prompt_required,prompt_required,no,no,yes,prompt_required,False,all_no_issue_controls_require_adjudication; anomaly_visibility_disagreement_may_affect_permission,"Check whether the target anomaly is absent/no visible issue. If so, use no_issue, not prompt_required."
ADJ058,F8,no_issue,no_issue,no_issue,prompt_required,prompt_required,no,no,yes,prompt_required,False,all_no_issue_controls_require_adjudication; anomaly_visibility_disagreement_may_affect_permission,"Check whether the target anomaly is absent/no visible issue. If so, use no_issue, not prompt_required."
ADJ059,G6,no_issue,no_issue,prompt_violating,prompt_required,prompt_required,yes,no,yes,prompt_required,False,all_no_issue_controls_require_adjudication; anomaly_visibility_disagreement_may_affect_permission,"Check whether the target anomaly is absent/no visible issue. If so, use no_issue, not prompt_required."
ADJ060,G7,no_issue,no_issue,no_issue,prompt_required,prompt_required,no,no,yes,prompt_required,False,all_no_issue_controls_require_adjudication; anomaly_visibility_disagreement_may_affect_permission,"Check whether the target anomaly is absent/no visible issue. If so, use no_issue, not prompt_required."
ADJ061,G8,no_issue,no_issue,no_issue,prompt_required,prompt_required,no,no,yes,prompt_required,False,all_no_issue_controls_require_adjudication; anomaly_visibility_disagreement_may_affect_permission,"Check whether the target anomaly is absent/no visible issue. If so, use no_issue, not prompt_required."
ADJ062,H6,no_issue,no_issue,no_issue,prompt_required,prompt_required,no,no,yes,prompt_required,False,all_no_issue_controls_require_adjudication; anomaly_visibility_disagreement_may_affect_permission,"Check whether the target anomaly is absent/no visible issue. If so, use no_issue, not prompt_required."
ADJ063,H7,no_issue,no_issue,no_issue,prompt_required,prompt_required,no,no,yes,prompt_required,False,all_no_issue_controls_require_adjudication; anomaly_visibility_disagreement_may_affect_permission,"Check whether the target anomaly is absent/no visible issue. If so, use no_issue, not prompt_required."
ADJ064,H8,no_issue,no_issue,no_issue,prompt_required,prompt_required,no,no,yes,prompt_required,False,all_no_issue_controls_require_adjudication; anomaly_visibility_disagreement_may_affect_permission,"Check whether the target anomaly is absent/no visible issue. If so, use no_issue, not prompt_required."
ADJ065,C3_P,permitted,prompt_required,prompt_required,prompt_violating,prompt_violating,yes,no,yes,prompt_violating,False,fewer_than_two_raters_support_metadata_gold; anomaly_visibility_disagreement_may_affect_permission,"Decide whether the anomaly is explicitly required, merely permitted, ambiguous, not visible, or actually violating."
ADJ066,C3_V,violating,prompt_violating,prompt_violating,prompt_required,prompt_required,yes,no,yes,prompt_required,False,fewer_than_two_raters_support_metadata_gold; anomaly_visibility_disagreement_may_affect_permission,Check whether the target anomaly is visible and contradicts the prompt.
ADJ067,A1_P,permitted,prompt_required,prompt_required,prompt_required,prompt_required,unclear,yes,yes,prompt_required,False,anomaly_visibility_disagreement_may_affect_permission,"Decide whether the anomaly is explicitly required, merely permitted, ambiguous, not visible, or actually violating."
ADJ068,A4_P,permitted,prompt_required,prompt_required,prompt_violating,prompt_required,yes,unclear,yes,prompt_required,False,anomaly_visibility_disagreement_may_affect_permission,"Decide whether the anomaly is explicitly required, merely permitted, ambiguous, not visible, or actually violating."
ADJ069,D5_P,permitted,prompt_required,prompt_required,prompt_violating,prompt_required,yes,no,yes,prompt_required,False,anomaly_visibility_disagreement_may_affect_permission,"Decide whether the anomaly is explicitly required, merely permitted, ambiguous, not visible, or actually violating."
ADJ070,A1_V,violating,prompt_violating,prompt_violating,prompt_violating,prompt_violating,yes,no,yes,prompt_violating,False,anomaly_visibility_disagreement_may_affect_permission,Check whether the target anomaly is visible and contradicts the prompt.
ADJ071,A3_V,violating,prompt_violating,prompt_violating,prompt_violating,prompt_violating,yes,no,yes,prompt_violating,False,anomaly_visibility_disagreement_may_affect_permission,Check whether the target anomaly is visible and contradicts the prompt.
ADJ072,A5_V,violating,prompt_violating,prompt_violating,prompt_required,prompt_violating,yes,no,yes,prompt_violating,False,anomaly_visibility_disagreement_may_affect_permission,Check whether the target anomaly is visible and contradicts the prompt.
ADJ073,B1_V,violating,prompt_violating,prompt_violating,prompt_violating,prompt_violating,yes,yes,no,prompt_violating,False,anomaly_visibility_disagreement_may_affect_permission,Check whether the target anomaly is visible and contradicts the prompt.
ADJ074,B2_V,violating,prompt_violating,prompt_violating,prompt_violating,prompt_violating,yes,yes,no,prompt_violating,False,anomaly_visibility_disagreement_may_affect_permission,Check whether the target anomaly is visible and contradicts the prompt.
ADJ075,B3_V,violating,prompt_violating,prompt_violating,prompt_violating,prompt_violating,yes,yes,no,prompt_violating,False,anomaly_visibility_disagreement_may_affect_permission,Check whether the target anomaly is visible and contradicts the prompt.
ADJ076,B4_V,violating,prompt_violating,prompt_violating,prompt_violating,prompt_violating,yes,yes,no,prompt_violating,False,anomaly_visibility_disagreement_may_affect_permission,Check whether the target anomaly is visible and contradicts the prompt.
ADJ077,B5_V,violating,prompt_violating,prompt_violating,prompt_violating,prompt_violating,yes,yes,no,prompt_violating,False,anomaly_visibility_disagreement_may_affect_permission,Check whether the target anomaly is visible and contradicts the prompt.
ADJ078,D4_V,violating,prompt_violating,prompt_violating,prompt_violating,prompt_violating,yes,no,yes,prompt_violating,False,anomaly_visibility_disagreement_may_affect_permission,Check whether the target anomaly is visible and contradicts the prompt.
ADJ079,D5_V,violating,prompt_violating,prompt_violating,ambiguous,prompt_violating,yes,no,yes,prompt_violating,False,anomaly_visibility_disagreement_may_affect_permission,Check whether the target anomaly is visible and contradicts the prompt.
