adjudication_item_id,sample_id,condition,image_path,prompt,target_anomaly,target_anomaly_description,adjudication_priority,adjudication_question,final_anomaly_visible,final_permission,final_confidence_1_3,final_issue_tag,final_rationale
ADJ011,C1_A,ambiguous,image/C1.png,A strange poetic landscape with unusual water movement and dreamlike atmosphere.,upward-flowing water or reversed gravity,Axis: A3 / Physics; target anomaly: upward-flowing water or reversed gravity; image: C1,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",,,,,
ADJ012,C2_A,ambiguous,image/C2.png,A strange poetic landscape with unusual water movement and dreamlike atmosphere.,upward-flowing water or reversed gravity,Axis: A3 / Physics; target anomaly: upward-flowing water or reversed gravity; image: C2,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",,,,,
ADJ013,C3_A,ambiguous,image/C3.png,A strange poetic landscape with unusual water movement and dreamlike atmosphere.,upward-flowing water or reversed gravity,Axis: A3 / Physics; target anomaly: upward-flowing water or reversed gravity; image: C3,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",,,,,
ADJ014,C4_A,ambiguous,image/C4.png,A strange poetic landscape with unusual water movement and dreamlike atmosphere.,upward-flowing water or reversed gravity,Axis: A3 / Physics; target anomaly: upward-flowing water or reversed gravity; image: C4,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",,,,,
ADJ015,C5_A,ambiguous,image/C5.png,A strange poetic landscape with unusual water movement and dreamlike atmosphere.,upward-flowing water or reversed gravity,Axis: A3 / Physics; target anomaly: upward-flowing water or reversed gravity; image: C5,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",,,,,
ADJ016,D1_A,ambiguous,image/D1.png,An artistic scene of a person and chair forming an unusual visual relationship.,human-chair fusion,Axis: A4 / Object Fusion; target anomaly: human-chair fusion; image: D1,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",,,,,
ADJ017,D2_A,ambiguous,image/D2.png,An artistic scene of a person and chair forming an unusual visual relationship.,human-chair fusion,Axis: A4 / Object Fusion; target anomaly: human-chair fusion; image: D2,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",,,,,
ADJ018,D3_A,ambiguous,image/D3.png,An artistic scene of a person and chair forming an unusual visual relationship.,human-chair fusion,Axis: A4 / Object Fusion; target anomaly: human-chair fusion; image: D3,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",,,,,
ADJ019,D4_A,ambiguous,image/D4.png,An artistic scene of a person and chair forming an unusual visual relationship.,human-chair fusion,Axis: A4 / Object Fusion; target anomaly: human-chair fusion; image: D4,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",,,,,
ADJ020,D5_A,ambiguous,image/D5.png,An artistic scene of a person and chair forming an unusual visual relationship.,human-chair fusion,Axis: A4 / Object Fusion; target anomaly: human-chair fusion; image: D5,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",,,,,
ADJ021,E1_A,ambiguous,image/E1.png,A stylized tabletop scene with repeated cup-like shapes and visual rhythm.,duplicated cups / excessive repetition,Axis: A5 / Count / Repetition; target anomaly: duplicated cups / excessive repetition; image: E1,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",,,,,
ADJ022,E2_A,ambiguous,image/E2.png,A stylized tabletop scene with repeated cup-like shapes and visual rhythm.,duplicated cups / excessive repetition,Axis: A5 / Count / Repetition; target anomaly: duplicated cups / excessive repetition; image: E2,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",,,,,
ADJ023,E3_A,ambiguous,image/E3.png,A stylized tabletop scene with repeated cup-like shapes and visual rhythm.,duplicated cups / excessive repetition,Axis: A5 / Count / Repetition; target anomaly: duplicated cups / excessive repetition; image: E3,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",,,,,
ADJ024,E4_A,ambiguous,image/E4.png,A stylized tabletop scene with repeated cup-like shapes and visual rhythm.,duplicated cups / excessive repetition,Axis: A5 / Count / Repetition; target anomaly: duplicated cups / excessive repetition; image: E4,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",,,,,
ADJ025,E5_A,ambiguous,image/E5.png,A stylized tabletop scene with repeated cup-like shapes and visual rhythm.,duplicated cups / excessive repetition,Axis: A5 / Count / Repetition; target anomaly: duplicated cups / excessive repetition; image: E5,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",,,,,
ADJ026,F1_A,ambiguous,image/F1.png,A strange interior scene with an unusual spatial composition.,impossible room geometry,Axis: A6 / Spatial / Impossible Geometry; target anomaly: impossible room geometry; image: F1,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",,,,,
ADJ027,F2_A,ambiguous,image/F2.png,A strange interior scene with an unusual spatial composition.,impossible room geometry,Axis: A6 / Spatial / Impossible Geometry; target anomaly: impossible room geometry; image: F2,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",,,,,
ADJ028,F3_A,ambiguous,image/F3.png,A strange interior scene with an unusual spatial composition.,impossible room geometry,Axis: A6 / Spatial / Impossible Geometry; target anomaly: impossible room geometry; image: F3,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",,,,,
ADJ029,F4_A,ambiguous,image/F4.png,A strange interior scene with an unusual spatial composition.,impossible room geometry,Axis: A6 / Spatial / Impossible Geometry; target anomaly: impossible room geometry; image: F4,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",,,,,
ADJ030,F5_A,ambiguous,image/F5.png,A strange interior scene with an unusual spatial composition.,impossible room geometry,Axis: A6 / Spatial / Impossible Geometry; target anomaly: impossible room geometry; image: F5,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",,,,,
ADJ031,G1_A,ambiguous,image/G1.png,A whimsical street scene with unusual scale relationships between people and everyday objects.,giant teacup and tiny people,Axis: A7 / Scale / Proportion; target anomaly: giant teacup and tiny people; image: G1,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",,,,,
ADJ032,G2_A,ambiguous,image/G2.png,A whimsical street scene with unusual scale relationships between people and everyday objects.,giant teacup and tiny people,Axis: A7 / Scale / Proportion; target anomaly: giant teacup and tiny people; image: G2,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",,,,,
ADJ033,G3_A,ambiguous,image/G3.png,A whimsical street scene with unusual scale relationships between people and everyday objects.,giant teacup and tiny people,Axis: A7 / Scale / Proportion; target anomaly: giant teacup and tiny people; image: G3,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",,,,,
ADJ034,G4_A,ambiguous,image/G4.png,A whimsical street scene with unusual scale relationships between people and everyday objects.,giant teacup and tiny people,Axis: A7 / Scale / Proportion; target anomaly: giant teacup and tiny people; image: G4,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",,,,,
ADJ035,G5_A,ambiguous,image/G5.png,A whimsical street scene with unusual scale relationships between people and everyday objects.,giant teacup and tiny people,Axis: A7 / Scale / Proportion; target anomaly: giant teacup and tiny people; image: G5,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",,,,,
ADJ036,H1_A,ambiguous,image/H1.png,An artistic scene about time and memory with deformed clock-like objects in a dreamlike setting.,soft melting clocks / deformed clocks,Axis: A8 / Artistic Deformation; target anomaly: soft melting clocks / deformed clocks; image: H1,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",,,,,
ADJ037,H2_A,ambiguous,image/H2.png,An artistic scene about time and memory with deformed clock-like objects in a dreamlike setting.,soft melting clocks / deformed clocks,Axis: A8 / Artistic Deformation; target anomaly: soft melting clocks / deformed clocks; image: H2,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",,,,,
ADJ038,H3_A,ambiguous,image/H3.png,An artistic scene about time and memory with deformed clock-like objects in a dreamlike setting.,soft melting clocks / deformed clocks,Axis: A8 / Artistic Deformation; target anomaly: soft melting clocks / deformed clocks; image: H3,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",,,,,
ADJ039,H4_A,ambiguous,image/H4.png,An artistic scene about time and memory with deformed clock-like objects in a dreamlike setting.,soft melting clocks / deformed clocks,Axis: A8 / Artistic Deformation; target anomaly: soft melting clocks / deformed clocks; image: H4,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",,,,,
ADJ040,H5_A,ambiguous,image/H5.png,An artistic scene about time and memory with deformed clock-like objects in a dreamlike setting.,soft melting clocks / deformed clocks,Axis: A8 / Artistic Deformation; target anomaly: soft melting clocks / deformed clocks; image: H5,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",,,,,
ADJ041,A6,no_issue,image/A6.png,No-issue control for Anatomy / Hands. The image should not contain the target anomaly.,none,Axis: A1 / Anatomy / Hands; target anomaly: none; image: A6,HIGH,"Is the target anomaly absent/no visible issue? If so, final label should be no_issue rather than prompt_required.",,,,,
ADJ042,A7,no_issue,image/A7.png,No-issue control for Anatomy / Hands. The image should not contain the target anomaly.,none,Axis: A1 / Anatomy / Hands; target anomaly: none; image: A7,HIGH,"Is the target anomaly absent/no visible issue? If so, final label should be no_issue rather than prompt_required.",,,,,
ADJ043,A8,no_issue,image/A8.png,No-issue control for Anatomy / Hands. The image should not contain the target anomaly.,none,Axis: A1 / Anatomy / Hands; target anomaly: none; image: A8,HIGH,"Is the target anomaly absent/no visible issue? If so, final label should be no_issue rather than prompt_required.",,,,,
ADJ044,B6,no_issue,image/B6.png,No-issue control for Text. The image should not contain the target anomaly.,none,Axis: A2 / Text; target anomaly: none; image: B6,HIGH,"Is the target anomaly absent/no visible issue? If so, final label should be no_issue rather than prompt_required.",,,,,
ADJ045,B7,no_issue,image/B7.png,No-issue control for Text. The image should not contain the target anomaly.,none,Axis: A2 / Text; target anomaly: none; image: B7,HIGH,"Is the target anomaly absent/no visible issue? If so, final label should be no_issue rather than prompt_required.",,,,,
ADJ046,B8,no_issue,image/B8.png,No-issue control for Text. The image should not contain the target anomaly.,none,Axis: A2 / Text; target anomaly: none; image: B8,HIGH,"Is the target anomaly absent/no visible issue? If so, final label should be no_issue rather than prompt_required.",,,,,
ADJ047,C6,no_issue,image/C6.png,No-issue control for Physics. The image should not contain the target anomaly.,none,Axis: A3 / Physics; target anomaly: none; image: C6,HIGH,"Is the target anomaly absent/no visible issue? If so, final label should be no_issue rather than prompt_required.",,,,,
ADJ048,C7,no_issue,image/C7.png,No-issue control for Physics. The image should not contain the target anomaly.,none,Axis: A3 / Physics; target anomaly: none; image: C7,HIGH,"Is the target anomaly absent/no visible issue? If so, final label should be no_issue rather than prompt_required.",,,,,
ADJ049,C8,no_issue,image/C8.png,No-issue control for Physics. The image should not contain the target anomaly.,none,Axis: A3 / Physics; target anomaly: none; image: C8,HIGH,"Is the target anomaly absent/no visible issue? If so, final label should be no_issue rather than prompt_required.",,,,,
ADJ050,D6,no_issue,image/D6.png,No-issue control for Object Fusion. The image should not contain the target anomaly.,none,Axis: A4 / Object Fusion; target anomaly: none; image: D6,HIGH,"Is the target anomaly absent/no visible issue? If so, final label should be no_issue rather than prompt_required.",,,,,
ADJ051,D7,no_issue,image/D7.png,No-issue control for Object Fusion. The image should not contain the target anomaly.,none,Axis: A4 / Object Fusion; target anomaly: none; image: D7,HIGH,"Is the target anomaly absent/no visible issue? If so, final label should be no_issue rather than prompt_required.",,,,,
ADJ052,D8,no_issue,image/D8.png,No-issue control for Object Fusion. The image should not contain the target anomaly.,none,Axis: A4 / Object Fusion; target anomaly: none; image: D8,HIGH,"Is the target anomaly absent/no visible issue? If so, final label should be no_issue rather than prompt_required.",,,,,
ADJ053,E6,no_issue,image/E6.png,No-issue control for Count / Repetition. The image should not contain the target anomaly.,none,Axis: A5 / Count / Repetition; target anomaly: none; image: E6,HIGH,"Is the target anomaly absent/no visible issue? If so, final label should be no_issue rather than prompt_required.",,,,,
ADJ054,E7,no_issue,image/E7.png,No-issue control for Count / Repetition. The image should not contain the target anomaly.,none,Axis: A5 / Count / Repetition; target anomaly: none; image: E7,HIGH,"Is the target anomaly absent/no visible issue? If so, final label should be no_issue rather than prompt_required.",,,,,
ADJ055,E8,no_issue,image/E8.png,No-issue control for Count / Repetition. The image should not contain the target anomaly.,none,Axis: A5 / Count / Repetition; target anomaly: none; image: E8,HIGH,"Is the target anomaly absent/no visible issue? If so, final label should be no_issue rather than prompt_required.",,,,,
ADJ056,F6,no_issue,image/F6.png,No-issue control for Spatial / Impossible Geometry. The image should not contain the target anomaly.,none,Axis: A6 / Spatial / Impossible Geometry; target anomaly: none; image: F6,HIGH,"Is the target anomaly absent/no visible issue? If so, final label should be no_issue rather than prompt_required.",,,,,
ADJ057,F7,no_issue,image/F7.png,No-issue control for Spatial / Impossible Geometry. The image should not contain the target anomaly.,none,Axis: A6 / Spatial / Impossible Geometry; target anomaly: none; image: F7,HIGH,"Is the target anomaly absent/no visible issue? If so, final label should be no_issue rather than prompt_required.",,,,,
ADJ058,F8,no_issue,image/F8.png,No-issue control for Spatial / Impossible Geometry. The image should not contain the target anomaly.,none,Axis: A6 / Spatial / Impossible Geometry; target anomaly: none; image: F8,HIGH,"Is the target anomaly absent/no visible issue? If so, final label should be no_issue rather than prompt_required.",,,,,
ADJ059,G6,no_issue,image/G6.png,No-issue control for Scale / Proportion. The image should not contain the target anomaly.,none,Axis: A7 / Scale / Proportion; target anomaly: none; image: G6,HIGH,"Is the target anomaly absent/no visible issue? If so, final label should be no_issue rather than prompt_required.",,,,,
ADJ060,G7,no_issue,image/G7.png,No-issue control for Scale / Proportion. The image should not contain the target anomaly.,none,Axis: A7 / Scale / Proportion; target anomaly: none; image: G7,HIGH,"Is the target anomaly absent/no visible issue? If so, final label should be no_issue rather than prompt_required.",,,,,
ADJ061,G8,no_issue,image/G8.png,No-issue control for Scale / Proportion. The image should not contain the target anomaly.,none,Axis: A7 / Scale / Proportion; target anomaly: none; image: G8,HIGH,"Is the target anomaly absent/no visible issue? If so, final label should be no_issue rather than prompt_required.",,,,,
ADJ062,H6,no_issue,image/H6.png,No-issue control for Artistic Deformation. The image should not contain the target anomaly.,none,Axis: A8 / Artistic Deformation; target anomaly: none; image: H6,HIGH,"Is the target anomaly absent/no visible issue? If so, final label should be no_issue rather than prompt_required.",,,,,
ADJ063,H7,no_issue,image/H7.png,No-issue control for Artistic Deformation. The image should not contain the target anomaly.,none,Axis: A8 / Artistic Deformation; target anomaly: none; image: H7,HIGH,"Is the target anomaly absent/no visible issue? If so, final label should be no_issue rather than prompt_required.",,,,,
ADJ064,H8,no_issue,image/H8.png,No-issue control for Artistic Deformation. The image should not contain the target anomaly.,none,Axis: A8 / Artistic Deformation; target anomaly: none; image: H8,HIGH,"Is the target anomaly absent/no visible issue? If so, final label should be no_issue rather than prompt_required.",,,,,
ADJ065,C3_P,permitted,image/C3.png,"A dream world with reversed gravity, where water flows upward and physical laws are intentionally inverted.",upward-flowing water or reversed gravity,Axis: A3 / Physics; target anomaly: upward-flowing water or reversed gravity; image: C3,HIGH,"Does visibility disagreement change the permission judgement, or is the target anomaly visible enough to judge against the prompt?",,,,,
ADJ066,C3_V,violating,image/C3.png,"A realistic landscape with normal gravity and physically plausible water movement. Rivers, rain, and waterfalls should move naturally downward.",upward-flowing water or reversed gravity,Axis: A3 / Physics; target anomaly: upward-flowing water or reversed gravity; image: C3,HIGH,"Does visibility disagreement change the permission judgement, or is the target anomaly visible enough to judge against the prompt?",,,,,
ADJ067,A1_P,permitted,image/A1.png,A surreal portrait of an alien-human performer with six elegant fingers on each hand. The unusual hands are an intentional part of the character design.,six fingers / extra fingers,Axis: A1 / Anatomy / Hands; target anomaly: six fingers / extra fingers; image: A1,MEDIUM,"Does visibility disagreement change the permission judgement, or is the target anomaly visible enough to judge against the prompt?",,,,,
ADJ068,A4_P,permitted,image/A4.png,A surreal portrait of an alien-human performer with six elegant fingers on each hand. The unusual hands are an intentional part of the character design.,six fingers / extra fingers,Axis: A1 / Anatomy / Hands; target anomaly: six fingers / extra fingers; image: A4,MEDIUM,"Does visibility disagreement change the permission judgement, or is the target anomaly visible enough to judge against the prompt?",,,,,
ADJ069,D5_P,permitted,image/D5.png,A surreal human-chair hybrid sculpture in which the human body and chair intentionally merge into a single artistic form.,human-chair fusion,Axis: A4 / Object Fusion; target anomaly: human-chair fusion; image: D5,MEDIUM,"Does visibility disagreement change the permission judgement, or is the target anomaly visible enough to judge against the prompt?",,,,,
ADJ070,A1_V,violating,image/A1.png,A realistic studio portrait of a human performer with natural anatomy. Both hands should be visible and each hand should have exactly five fingers.,six fingers / extra fingers,Axis: A1 / Anatomy / Hands; target anomaly: six fingers / extra fingers; image: A1,MEDIUM,"Does visibility disagreement change the permission judgement, or is the target anomaly visible enough to judge against the prompt?",,,,,
ADJ071,A3_V,violating,image/A3.png,A realistic studio portrait of a human performer with natural anatomy. Both hands should be visible and each hand should have exactly five fingers.,six fingers / extra fingers,Axis: A1 / Anatomy / Hands; target anomaly: six fingers / extra fingers; image: A3,MEDIUM,"Does visibility disagreement change the permission judgement, or is the target anomaly visible enough to judge against the prompt?",,,,,
ADJ072,A5_V,violating,image/A5.png,A realistic studio portrait of a human performer with natural anatomy. Both hands should be visible and each hand should have exactly five fingers.,six fingers / extra fingers,Axis: A1 / Anatomy / Hands; target anomaly: six fingers / extra fingers; image: A5,MEDIUM,"Does visibility disagreement change the permission judgement, or is the target anomaly visible enough to judge against the prompt?",,,,,
ADJ073,B1_V,violating,image/B1.png,"A clean professional advertisement poster with large readable text. The text should be clear, correctly formed, and easy to read.",illegible or distorted text,Axis: A2 / Text; target anomaly: illegible or distorted text; image: B1,MEDIUM,"Does visibility disagreement change the permission judgement, or is the target anomaly visible enough to judge against the prompt?",,,,,
ADJ074,B2_V,violating,image/B2.png,"A clean professional advertisement poster with large readable text. The text should be clear, correctly formed, and easy to read.",illegible or distorted text,Axis: A2 / Text; target anomaly: illegible or distorted text; image: B2,MEDIUM,"Does visibility disagreement change the permission judgement, or is the target anomaly visible enough to judge against the prompt?",,,,,
ADJ075,B3_V,violating,image/B3.png,"A clean professional advertisement poster with large readable text. The text should be clear, correctly formed, and easy to read.",illegible or distorted text,Axis: A2 / Text; target anomaly: illegible or distorted text; image: B3,MEDIUM,"Does visibility disagreement change the permission judgement, or is the target anomaly visible enough to judge against the prompt?",,,,,
ADJ076,B4_V,violating,image/B4.png,"A clean professional advertisement poster with large readable text. The text should be clear, correctly formed, and easy to read.",illegible or distorted text,Axis: A2 / Text; target anomaly: illegible or distorted text; image: B4,MEDIUM,"Does visibility disagreement change the permission judgement, or is the target anomaly visible enough to judge against the prompt?",,,,,
ADJ077,B5_V,violating,image/B5.png,"A clean professional advertisement poster with large readable text. The text should be clear, correctly formed, and easy to read.",illegible or distorted text,Axis: A2 / Text; target anomaly: illegible or distorted text; image: B5,MEDIUM,"Does visibility disagreement change the permission judgement, or is the target anomaly visible enough to judge against the prompt?",,,,,
ADJ078,D4_V,violating,image/D4.png,"A realistic office or interior scene where a person and a chair are clearly separate objects, with normal body posture and normal furniture structure.",human-chair fusion,Axis: A4 / Object Fusion; target anomaly: human-chair fusion; image: D4,MEDIUM,"Does visibility disagreement change the permission judgement, or is the target anomaly visible enough to judge against the prompt?",,,,,
ADJ079,D5_V,violating,image/D5.png,"A realistic office or interior scene where a person and a chair are clearly separate objects, with normal body posture and normal furniture structure.",human-chair fusion,Axis: A4 / Object Fusion; target anomaly: human-chair fusion; image: D5,MEDIUM,"Does visibility disagreement change the permission judgement, or is the target anomaly visible enough to judge against the prompt?",,,,,
